cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
00305710,10.55,10.37,2019-01-02,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,10.66,10.55,2019-01-03,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,10.82,10.67,2019-01-04,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,10.87,10.86,2019-01-07,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,10.98,10.93,2019-01-08,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.11,11.06,2019-01-09,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.25,11.12,2019-01-10,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.35,11.3,2019-01-11,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.36,11.37,2019-01-14,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.54,11.39,2019-01-15,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.66,11.51,2019-01-16,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.52,11.66,2019-01-17,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.49,11.52,2019-01-18,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.3,11.37,2019-01-22,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.16,11.31,2019-01-23,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.12,11.22,2019-01-24,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.19,11.14,2019-01-25,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.28,11.15,2019-01-28,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.4,11.34,2019-01-29,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.54,11.46,2019-01-30,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.65,11.61,2019-01-31,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.74,11.68,2019-02-01,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.77,11.74,2019-02-04,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.81,11.76,2019-02-05,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.84,11.81,2019-02-06,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.67,11.77,2019-02-07,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.63,11.6,2019-02-08,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.61,11.64,2019-02-11,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.72,11.67,2019-02-12,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.78,11.76,2019-02-13,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.8,11.75,2019-02-14,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.89,11.85,2019-02-15,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,12.0,11.86,2019-02-19,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.74,11.91,2019-02-20,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.67,11.68,2019-02-21,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.79,11.78,2019-02-22,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.79,11.82,2019-02-25,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.87,11.77,2019-02-26,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.82,11.87,2019-02-27,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.87,11.81,2019-02-28,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.895,11.91,2019-03-01,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.88,11.91,2019-03-04,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.89,11.86,2019-03-05,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.81,11.89,2019-03-06,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.75,11.81,2019-03-07,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.7999,11.75,2019-03-08,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.8799,11.8,2019-03-11,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.98,11.89,2019-03-12,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,11.95,11.97,2019-03-13,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,12.0,11.97,2019-03-14,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,12.04,12.04,2019-03-15,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,12.08,12.08,2019-03-18,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,12.1,12.13,2019-03-19,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,12.06,12.02,2019-03-20,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
00305710,12.17,12.04,2019-03-21,ACP,ABRDN INCOME CREDIT STRATS FUND,6722.0,160.0
