cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
00808Y40,1.58,1.71,2019-01-02,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.49,1.54,2019-01-03,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.4765,1.5,2019-01-04,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.51,1.46,2019-01-07,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.5,1.5,2019-01-08,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.52,1.5,2019-01-09,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.41,1.5,2019-01-10,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.36,1.42,2019-01-11,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.32,1.39,2019-01-14,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.3,1.3,2019-01-15,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.3,1.32,2019-01-16,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.4,1.32,2019-01-17,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.4,1.44,2019-01-18,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.36,1.4,2019-01-22,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.3379,1.37,2019-01-23,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.3933,1.35,2019-01-24,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.37,1.37,2019-01-25,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.35,1.33,2019-01-28,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.35,1.32,2019-01-29,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.35,1.34,2019-01-30,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.33,1.35,2019-01-31,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.31,1.347,2019-02-01,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.33,1.28,2019-02-04,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.32,1.36,2019-02-05,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.31,1.333,2019-02-06,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.33,1.31,2019-02-07,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.36,1.32,2019-02-08,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.37,1.38,2019-02-11,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.2,1.24,2019-02-12,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,0.94,1.17,2019-02-13,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.05,0.95,2019-02-14,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.1,1.1,2019-02-15,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.04,1.1,2019-02-19,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.02,1.1,2019-02-20,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.0099,1.05,2019-02-21,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.01,1.03,2019-02-22,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.01,1.0,2019-02-25,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,0.9951,1.02,2019-02-26,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,0.9902,1.0,2019-02-27,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,0.98,0.9749,2019-02-28,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.05,1.02,2019-03-01,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.03,1.06,2019-03-04,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.03,1.02,2019-03-05,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,0.9801,1.03,2019-03-06,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,0.99,1.07,2019-03-07,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,0.982,1.0,2019-03-08,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.01,0.98,2019-03-11,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.02,1.0,2019-03-12,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.0,1.0,2019-03-13,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.02,1.0,2019-03-14,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.01,1.01,2019-03-15,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.03,1.02,2019-03-18,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.01,1.01,2019-03-19,AEMD,AETHLON MEDICAL INC,9999.0,91.0
00808Y40,1.0,1.01,2019-03-20,AEMD,AETHLON MEDICAL INC,9999.0,91.0
