cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
03050610,58.29,54.6,2019-01-02,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,57.94,57.71,2019-01-03,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,62.28,58.87,2019-01-04,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,65.3,62.11,2019-01-07,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,66.05,65.7,2019-01-08,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,66.64,66.19,2019-01-09,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,66.8,66.21,2019-01-10,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,67.56,66.1,2019-01-11,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,67.85,66.81,2019-01-14,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,67.0,67.81,2019-01-15,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,66.84,67.01,2019-01-16,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,69.12,66.29,2019-01-17,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,69.75,69.37,2019-01-18,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,67.93,69.05,2019-01-22,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,67.33,68.12,2019-01-23,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,66.77,67.34,2019-01-24,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,67.5,67.64,2019-01-25,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,67.43,66.52,2019-01-28,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,67.35,67.33,2019-01-29,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,67.52,67.72,2019-01-30,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,69.95,67.26,2019-01-31,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,69.27,69.81,2019-02-01,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,70.02,69.28,2019-02-04,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,70.0,70.0,2019-02-05,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,69.72,70.0,2019-02-06,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,68.89,69.73,2019-02-07,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,68.99,68.5,2019-02-08,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,72.02,69.27,2019-02-11,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,75.5,72.5,2019-02-12,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,76.25,76.12,2019-02-13,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,76.17,75.99,2019-02-14,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,78.86,76.32,2019-02-15,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,81.41,78.45,2019-02-19,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,83.39,81.44,2019-02-20,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,85.17,83.9,2019-02-21,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,85.63,86.15,2019-02-22,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,86.78,86.0,2019-02-25,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,86.7,87.0,2019-02-26,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,87.23,87.09,2019-02-27,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,85.2,87.24,2019-02-28,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,86.18,86.95,2019-03-01,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,86.1,86.05,2019-03-04,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,82.84,86.37,2019-03-05,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,81.3,82.87,2019-03-06,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,79.71,81.31,2019-03-07,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,79.89,79.25,2019-03-08,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,80.94,80.1,2019-03-11,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,80.64,81.0,2019-03-12,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,80.33,80.99,2019-03-13,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,80.0,80.17,2019-03-14,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,79.84,80.34,2019-03-15,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,80.39,80.11,2019-03-18,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,79.53,80.67,2019-03-19,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,77.84,79.54,2019-03-20,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,78.41,77.52,2019-03-21,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,75.98,77.7,2019-03-22,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,78.52,75.66,2019-03-25,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,78.38,79.18,2019-03-26,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,79.61,78.38,2019-03-27,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,81.05,79.85,2019-03-28,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,82.63,81.85,2019-03-29,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,83.03,83.33,2019-04-01,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,81.88,83.41,2019-04-02,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,82.65,82.6,2019-04-03,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,85.72,82.87,2019-04-04,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,87.36,85.81,2019-04-05,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,88.23,86.96,2019-04-08,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,85.64,87.78,2019-04-09,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,86.81,85.75,2019-04-10,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,88.28,86.75,2019-04-11,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,88.14,88.91,2019-04-12,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,88.45,88.54,2019-04-15,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,89.88,88.6,2019-04-16,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,89.17,90.18,2019-04-17,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,88.4,89.0,2019-04-18,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,86.59,88.75,2019-04-22,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,88.35,86.76,2019-04-23,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,87.9,88.1,2019-04-24,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,89.76,87.42,2019-04-25,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,89.83,89.74,2019-04-26,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,89.91,90.03,2019-04-29,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,89.93,89.98,2019-04-30,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,89.27,90.54,2019-05-01,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,88.87,89.0,2019-05-02,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,92.58,89.0,2019-05-03,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,92.27,90.78,2019-05-06,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,91.16,91.33,2019-05-07,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,88.48,91.28,2019-05-08,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,90.4,87.56,2019-05-09,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,91.15,90.09,2019-05-10,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,88.47,89.19,2019-05-13,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,90.16,88.48,2019-05-14,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,90.32,89.25,2019-05-15,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
