cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
03272410,63.72,62.28,2019-01-02,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,61.38,63.61,2019-01-03,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,65.4,62.77,2019-01-04,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,69.41,66.71,2019-01-07,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,70.0,69.94,2019-01-08,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,71.71,70.54,2019-01-09,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,73.59,70.97,2019-01-10,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,72.07,73.06,2019-01-11,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,69.5,71.19,2019-01-14,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,70.59,69.45,2019-01-15,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,71.51,70.77,2019-01-16,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,72.75,71.02,2019-01-17,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,73.05,72.78,2019-01-18,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,71.02,72.71,2019-01-22,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,68.87,71.71,2019-01-23,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,67.01,69.01,2019-01-24,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,67.47,66.9,2019-01-25,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,63.0,66.47,2019-01-28,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,61.95,63.11,2019-01-29,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,65.33,62.45,2019-01-30,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,66.32,64.68,2019-01-31,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,68.76,66.32,2019-02-01,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,69.46,68.6,2019-02-04,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,67.93,69.12,2019-02-05,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,71.07,67.64,2019-02-06,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,70.12,70.57,2019-02-07,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,68.89,69.53,2019-02-08,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,70.14,69.43,2019-02-11,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,69.34,70.82,2019-02-12,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,67.85,69.73,2019-02-13,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,69.2,67.86,2019-02-14,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,68.35,69.5,2019-02-15,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,66.05,69.05,2019-02-19,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,65.03,66.04,2019-02-20,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,64.94,65.0,2019-02-21,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,67.39,65.8,2019-02-22,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,69.56,67.84,2019-02-25,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,69.87,69.15,2019-02-26,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,71.77,69.99,2019-02-27,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,68.87,71.86,2019-02-28,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,70.6,69.12,2019-03-01,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,70.68,71.48,2019-03-04,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,68.63,70.71,2019-03-05,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,63.25,68.57,2019-03-06,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,63.01,63.9,2019-03-07,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,63.74,62.44,2019-03-08,ANAB,ANAPTYSBIO INC,9999.0,63.0
03272410,65.94,64.23,2019-03-11,ANAB,ANAPTYSBIO INC,9999.0,63.0
