cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
G6096M12,15.64,15.64,2019-01-02,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.67,15.05,2019-01-03,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,-15.45,,2019-01-04,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.65,15.3,2019-01-07,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.0,15.3,2019-01-08,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.7,15.05,2019-01-09,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.0,15.0,2019-01-10,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.82,14.82,2019-01-11,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.65,15.0,2019-01-14,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.16,15.0,2019-01-15,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.18,15.1,2019-01-16,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.18,15.18,2019-01-17,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.46,15.25,2019-01-18,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.0,14.75,2019-01-22,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.87,14.3,2019-01-23,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.6,14.75,2019-01-24,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.24,14.2,2019-01-25,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,13.95,14.25,2019-01-28,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,13.96,14.0,2019-01-29,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.25,13.05,2019-01-30,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.19,14.03,2019-01-31,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.21,15.2,2019-02-01,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.9,15.21,2019-02-04,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.28,15.0,2019-02-05,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.2,15.25,2019-02-06,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,15.13,15.28,2019-02-07,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.92,15.0,2019-02-08,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.5,14.9,2019-02-11,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.98,14.57,2019-02-12,APM,APTORUM GROUP LTD,9999.0,18.0
G6096M12,14.94,14.9,2019-02-13,APM,APTORUM GROUP LTD,9999.0,18.0
