cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
03783C10,59.04,57.94,2019-01-02,APPF,APPFOLIO INC,9999.0,75.0
03783C10,56.33,58.29,2019-01-03,APPF,APPFOLIO INC,9999.0,75.0
03783C10,57.17,57.11,2019-01-04,APPF,APPFOLIO INC,9999.0,75.0
03783C10,59.29,57.16,2019-01-07,APPF,APPFOLIO INC,9999.0,75.0
03783C10,59.66,60.0,2019-01-08,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.63,60.15,2019-01-09,APPF,APPFOLIO INC,9999.0,75.0
03783C10,60.59,61.2,2019-01-10,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.24,60.39,2019-01-11,APPF,APPFOLIO INC,9999.0,75.0
03783C10,60.07,60.74,2019-01-14,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.34,60.08,2019-01-15,APPF,APPFOLIO INC,9999.0,75.0
03783C10,60.77,61.73,2019-01-16,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.45,60.51,2019-01-17,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.89,61.86,2019-01-18,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.24,61.67,2019-01-22,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.9,61.71,2019-01-23,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.99,61.91,2019-01-24,APPF,APPFOLIO INC,9999.0,75.0
03783C10,63.37,62.74,2019-01-25,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.21,63.0,2019-01-28,APPF,APPFOLIO INC,9999.0,75.0
03783C10,60.19,61.18,2019-01-29,APPF,APPFOLIO INC,9999.0,75.0
03783C10,61.14,60.65,2019-01-30,APPF,APPFOLIO INC,9999.0,75.0
03783C10,63.31,61.18,2019-01-31,APPF,APPFOLIO INC,9999.0,75.0
03783C10,64.15,63.34,2019-02-01,APPF,APPFOLIO INC,9999.0,75.0
03783C10,64.1,64.31,2019-02-04,APPF,APPFOLIO INC,9999.0,75.0
03783C10,63.69,64.27,2019-02-05,APPF,APPFOLIO INC,9999.0,75.0
03783C10,63.14,63.7,2019-02-06,APPF,APPFOLIO INC,9999.0,75.0
03783C10,62.37,62.79,2019-02-07,APPF,APPFOLIO INC,9999.0,75.0
03783C10,63.69,61.9,2019-02-08,APPF,APPFOLIO INC,9999.0,75.0
03783C10,64.3,64.2,2019-02-11,APPF,APPFOLIO INC,9999.0,75.0
03783C10,65.0,64.61,2019-02-12,APPF,APPFOLIO INC,9999.0,75.0
03783C10,65.06,64.94,2019-02-13,APPF,APPFOLIO INC,9999.0,75.0
03783C10,65.63,64.96,2019-02-14,APPF,APPFOLIO INC,9999.0,75.0
03783C10,67.75,65.95,2019-02-15,APPF,APPFOLIO INC,9999.0,75.0
03783C10,67.46,68.19,2019-02-19,APPF,APPFOLIO INC,9999.0,75.0
03783C10,68.07,67.5,2019-02-20,APPF,APPFOLIO INC,9999.0,75.0
03783C10,68.79,68.06,2019-02-21,APPF,APPFOLIO INC,9999.0,75.0
03783C10,70.54,69.12,2019-02-22,APPF,APPFOLIO INC,9999.0,75.0
03783C10,71.03,70.98,2019-02-25,APPF,APPFOLIO INC,9999.0,75.0
03783C10,69.31,70.95,2019-02-26,APPF,APPFOLIO INC,9999.0,75.0
03783C10,69.41,68.41,2019-02-27,APPF,APPFOLIO INC,9999.0,75.0
03783C10,72.28,69.42,2019-02-28,APPF,APPFOLIO INC,9999.0,75.0
03783C10,65.72,68.15,2019-03-01,APPF,APPFOLIO INC,9999.0,75.0
03783C10,68.66,66.39,2019-03-04,APPF,APPFOLIO INC,9999.0,75.0
03783C10,68.23,68.63,2019-03-05,APPF,APPFOLIO INC,9999.0,75.0
