cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
04274410,32.73,31.58,2019-01-02,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.71,32.58,2019-01-03,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.73,32.94,2019-01-04,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.87,33.73,2019-01-07,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.68,34.17,2019-01-08,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.7,33.75,2019-01-09,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.8,33.4201,2019-01-10,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.75,32.44,2019-01-11,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.74,32.41,2019-01-14,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.84,32.7,2019-01-15,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.25,33.0,2019-01-16,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.85,32.823,2019-01-17,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.47,32.86,2019-01-18,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,31.26,32.49,2019-01-22,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.0,31.16,2019-01-23,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.26,32.15,2019-01-24,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.7,32.16,2019-01-25,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,31.89,32.37,2019-01-28,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,31.4,31.5,2019-01-29,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,31.71,31.01,2019-01-30,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,31.85,31.85,2019-01-31,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.58,32.1,2019-02-01,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.6,32.77,2019-02-04,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.24,34.0,2019-02-05,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.0,34.25,2019-02-06,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.18,34.12,2019-02-07,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.38,34.1,2019-02-08,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.58,34.43,2019-02-11,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.82,34.75,2019-02-12,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.89,34.94,2019-02-13,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.63,34.68,2019-02-14,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.28,34.75,2019-02-15,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.9,35.04,2019-02-19,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.68,35.86,2019-02-20,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.72,35.89,2019-02-21,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.84,35.72,2019-02-22,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.47,36.16,2019-02-25,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.26,35.51,2019-02-26,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.16,34.7501,2019-02-27,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.42,35.14,2019-02-28,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.73,35.43,2019-03-01,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,35.11,35.59,2019-03-04,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.95,34.88,2019-03-05,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.8,34.87,2019-03-06,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.22,33.99,2019-03-07,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.26,33.13,2019-03-08,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.29,33.4559,2019-03-11,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.33,34.33,2019-03-12,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.45,34.58,2019-03-13,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.6,34.8,2019-03-14,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.57,34.78,2019-03-15,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.49,34.77,2019-03-18,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.56,34.6,2019-03-19,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.02,33.05,2019-03-20,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.85,33.11,2019-03-21,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,31.6,32.57,2019-03-22,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.44,31.68,2019-03-25,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.86,32.63,2019-03-26,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.27,32.67,2019-03-27,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.44,33.34,2019-03-28,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,32.89,33.22,2019-03-29,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.6,32.89,2019-04-01,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.36,33.6,2019-04-02,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.17,33.79,2019-04-03,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.44,33.2,2019-04-04,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.66,33.48,2019-04-05,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.78,33.9337,2019-04-08,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,33.25,33.77,2019-04-09,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,34.14,33.55,2019-04-10,AROW,ARROW FINANCIAL CORP,6020.0,335.0
