cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
37950E64,15.335,15.12,2019-01-02,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.2,15.2,2019-01-03,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.665,15.48,2019-01-04,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.735,15.57,2019-01-07,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.8416,15.7728,2019-01-08,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.0077,15.94,2019-01-09,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.0251,15.95,2019-01-10,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.96,16.01,2019-01-11,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.935,15.9,2019-01-14,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.94,15.95,2019-01-15,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.14,15.86,2019-01-16,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.0404,16.04,2019-01-17,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.12,15.99,2019-01-18,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.76,16.01,2019-01-22,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.0,15.97,2019-01-23,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.05,15.95,2019-01-24,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.085,16.1899,2019-01-25,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.966,16.06,2019-01-28,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.97,15.96,2019-01-29,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.1197,15.96,2019-01-30,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.18,16.045,2019-01-31,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.18,16.12,2019-02-01,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.18,16.13,2019-02-04,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.31,16.18,2019-02-05,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.14,16.31,2019-02-06,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.0493,16.16,2019-02-07,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.0,16.0,2019-02-08,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.935,15.883,2019-02-11,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.06,16.0,2019-02-12,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.96,15.8964,2019-02-13,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.08,15.95,2019-02-14,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.06,16.08,2019-02-15,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.23,16.02,2019-02-19,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.28,16.21,2019-02-20,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.05,16.2,2019-02-21,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.23,16.1955,2019-02-22,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.38,16.23,2019-02-25,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.37,16.25,2019-02-26,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,16.12,16.11,2019-02-27,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.97,16.02,2019-02-28,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.92,15.823,2019-03-01,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.91,15.92,2019-03-04,ASEA,GLOBAL X FUNDS,6726.0,159.0
37950E64,15.99,15.95,2019-03-05,ASEA,GLOBAL X FUNDS,6726.0,159.0
