cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
05333210,838.47998,831.66998,2019-01-02,AZO,AUTOZONE INC,5531.0,380.0
05333210,845.58002,838.92999,2019-01-03,AZO,AUTOZONE INC,5531.0,380.0
05333210,835.63,851.39001,2019-01-04,AZO,AUTOZONE INC,5531.0,380.0
05333210,822.32001,834.67999,2019-01-07,AZO,AUTOZONE INC,5531.0,380.0
05333210,811.37,830.0,2019-01-08,AZO,AUTOZONE INC,5531.0,380.0
05333210,820.35999,817.60999,2019-01-09,AZO,AUTOZONE INC,5531.0,380.0
05333210,827.34003,815.01001,2019-01-10,AZO,AUTOZONE INC,5531.0,380.0
05333210,822.88,822.84003,2019-01-11,AZO,AUTOZONE INC,5531.0,380.0
05333210,826.97998,823.02002,2019-01-14,AZO,AUTOZONE INC,5531.0,380.0
05333210,829.58002,826.51001,2019-01-15,AZO,AUTOZONE INC,5531.0,380.0
05333210,832.96002,831.73999,2019-01-16,AZO,AUTOZONE INC,5531.0,380.0
05333210,842.31,832.58002,2019-01-17,AZO,AUTOZONE INC,5531.0,380.0
05333210,844.32001,844.73999,2019-01-18,AZO,AUTOZONE INC,5531.0,380.0
05333210,829.20001,843.98999,2019-01-22,AZO,AUTOZONE INC,5531.0,380.0
05333210,834.54999,832.48999,2019-01-23,AZO,AUTOZONE INC,5531.0,380.0
05333210,814.78998,831.75,2019-01-24,AZO,AUTOZONE INC,5531.0,380.0
05333210,814.64001,818.39001,2019-01-25,AZO,AUTOZONE INC,5531.0,380.0
05333210,819.01001,812.09003,2019-01-28,AZO,AUTOZONE INC,5531.0,380.0
05333210,830.65997,818.94,2019-01-29,AZO,AUTOZONE INC,5531.0,380.0
05333210,843.16998,828.91998,2019-01-30,AZO,AUTOZONE INC,5531.0,380.0
05333210,847.34003,844.66998,2019-01-31,AZO,AUTOZONE INC,5531.0,380.0
05333210,849.90997,848.0,2019-02-01,AZO,AUTOZONE INC,5531.0,380.0
05333210,869.44,852.29999,2019-02-04,AZO,AUTOZONE INC,5531.0,380.0
05333210,869.41998,873.73999,2019-02-05,AZO,AUTOZONE INC,5531.0,380.0
05333210,868.08002,870.85999,2019-02-06,AZO,AUTOZONE INC,5531.0,380.0
05333210,878.77002,874.88,2019-02-07,AZO,AUTOZONE INC,5531.0,380.0
05333210,874.08002,873.15997,2019-02-08,AZO,AUTOZONE INC,5531.0,380.0
05333210,887.90997,875.38,2019-02-11,AZO,AUTOZONE INC,5531.0,380.0
05333210,890.90002,888.54999,2019-02-12,AZO,AUTOZONE INC,5531.0,380.0
