cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
09004010,14.28,14.0,2019-01-02,BILI,BILIBILI INC,9999.0,24.0
09004010,12.95,14.19,2019-01-03,BILI,BILIBILI INC,9999.0,24.0
09004010,13.7,13.45,2019-01-04,BILI,BILIBILI INC,9999.0,24.0
09004010,14.27,13.94,2019-01-07,BILI,BILIBILI INC,9999.0,24.0
09004010,14.78,14.515,2019-01-08,BILI,BILIBILI INC,9999.0,24.0
09004010,15.75,14.04,2019-01-09,BILI,BILIBILI INC,9999.0,24.0
09004010,16.26,15.4,2019-01-10,BILI,BILIBILI INC,9999.0,24.0
09004010,15.36,16.02,2019-01-11,BILI,BILIBILI INC,9999.0,24.0
09004010,15.06,15.2,2019-01-14,BILI,BILIBILI INC,9999.0,24.0
09004010,15.51,15.33,2019-01-15,BILI,BILIBILI INC,9999.0,24.0
09004010,16.03,15.77,2019-01-16,BILI,BILIBILI INC,9999.0,24.0
09004010,16.53,15.9,2019-01-17,BILI,BILIBILI INC,9999.0,24.0
09004010,16.71,16.86,2019-01-18,BILI,BILIBILI INC,9999.0,24.0
09004010,15.93,16.16,2019-01-22,BILI,BILIBILI INC,9999.0,24.0
09004010,15.95,16.19,2019-01-23,BILI,BILIBILI INC,9999.0,24.0
09004010,16.89,16.09,2019-01-24,BILI,BILIBILI INC,9999.0,24.0
09004010,17.44,17.22,2019-01-25,BILI,BILIBILI INC,9999.0,24.0
09004010,17.98,17.14,2019-01-28,BILI,BILIBILI INC,9999.0,24.0
09004010,17.84,17.99,2019-01-29,BILI,BILIBILI INC,9999.0,24.0
09004010,17.76,18.19,2019-01-30,BILI,BILIBILI INC,9999.0,24.0
09004010,18.41,18.28,2019-01-31,BILI,BILIBILI INC,9999.0,24.0
09004010,17.83,18.3,2019-02-01,BILI,BILIBILI INC,9999.0,24.0
09004010,17.7,17.89,2019-02-04,BILI,BILIBILI INC,9999.0,24.0
09004010,18.21,17.76,2019-02-05,BILI,BILIBILI INC,9999.0,24.0
09004010,18.21,18.19,2019-02-06,BILI,BILIBILI INC,9999.0,24.0
09004010,17.18,17.99,2019-02-07,BILI,BILIBILI INC,9999.0,24.0
09004010,17.46,16.99,2019-02-08,BILI,BILIBILI INC,9999.0,24.0
09004010,17.29,17.825,2019-02-11,BILI,BILIBILI INC,9999.0,24.0
09004010,17.86,17.51,2019-02-12,BILI,BILIBILI INC,9999.0,24.0
09004010,18.2,18.11,2019-02-13,BILI,BILIBILI INC,9999.0,24.0
09004010,18.92,18.82,2019-02-14,BILI,BILIBILI INC,9999.0,24.0
09004010,17.74,18.5,2019-02-15,BILI,BILIBILI INC,9999.0,24.0
09004010,17.8,17.81,2019-02-19,BILI,BILIBILI INC,9999.0,24.0
09004010,18.31,18.03,2019-02-20,BILI,BILIBILI INC,9999.0,24.0
09004010,18.14,18.46,2019-02-21,BILI,BILIBILI INC,9999.0,24.0
09004010,19.48,18.45,2019-02-22,BILI,BILIBILI INC,9999.0,24.0
09004010,20.26,20.5,2019-02-25,BILI,BILIBILI INC,9999.0,24.0
09004010,19.73,19.67,2019-02-26,BILI,BILIBILI INC,9999.0,24.0
09004010,19.86,19.99,2019-02-27,BILI,BILIBILI INC,9999.0,24.0
09004010,18.98,20.9,2019-02-28,BILI,BILIBILI INC,9999.0,24.0
09004010,17.98,19.11,2019-03-01,BILI,BILIBILI INC,9999.0,24.0
09004010,18.82,17.63,2019-03-04,BILI,BILIBILI INC,9999.0,24.0
09004010,19.14,18.66,2019-03-05,BILI,BILIBILI INC,9999.0,24.0
09004010,18.66,19.0,2019-03-06,BILI,BILIBILI INC,9999.0,24.0
09004010,17.8,18.4,2019-03-07,BILI,BILIBILI INC,9999.0,24.0
09004010,17.94,17.21,2019-03-08,BILI,BILIBILI INC,9999.0,24.0
09004010,18.6,18.12,2019-03-11,BILI,BILIBILI INC,9999.0,24.0
09004010,18.9,18.71,2019-03-12,BILI,BILIBILI INC,9999.0,24.0
09004010,18.2,18.9,2019-03-13,BILI,BILIBILI INC,9999.0,24.0
09004010,18.5,18.3,2019-03-14,BILI,BILIBILI INC,9999.0,24.0
09004010,18.71,18.59,2019-03-15,BILI,BILIBILI INC,9999.0,24.0
09004010,18.5,18.91,2019-03-18,BILI,BILIBILI INC,9999.0,24.0
09004010,18.65,18.57,2019-03-19,BILI,BILIBILI INC,9999.0,24.0
09004010,17.75,18.62,2019-03-20,BILI,BILIBILI INC,9999.0,24.0
