cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
92189F41,14.46,14.07,2019-01-02,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,14.4181,14.44,2019-01-03,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,14.82,14.52,2019-01-04,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.17,14.81,2019-01-07,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.36,15.24,2019-01-08,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.3,15.36,2019-01-09,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.36,15.25,2019-01-10,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.42,15.33,2019-01-11,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.4,15.36,2019-01-14,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.44,15.34,2019-01-15,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.55,15.47,2019-01-16,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.52,15.54,2019-01-17,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.59,15.6,2019-01-18,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.48,15.53,2019-01-22,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.5,15.54,2019-01-23,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.61,15.51,2019-01-24,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.76,15.69,2019-01-25,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.73,15.67,2019-01-28,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.7,15.75,2019-01-29,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.88,15.71,2019-01-30,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.95,15.83,2019-01-31,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.94,15.96,2019-02-01,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.08,15.91,2019-02-04,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.18,16.08,2019-02-05,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.14,16.2,2019-02-06,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.94,16.11,2019-02-07,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.9087,15.92,2019-02-08,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,15.97,15.94,2019-02-11,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.07,16.02,2019-02-12,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.13,16.06,2019-02-13,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.15,16.1,2019-02-14,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.18,16.2,2019-02-15,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.28,16.2,2019-02-19,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.42,16.31,2019-02-20,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.49,16.42,2019-02-21,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.73,16.56,2019-02-22,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.69,16.8,2019-02-25,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.62,16.62,2019-02-26,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.52,16.63,2019-02-27,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.45,16.6,2019-02-28,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.34,16.57,2019-03-01,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.39,16.37,2019-03-04,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.27,16.39,2019-03-05,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.22,16.26,2019-03-06,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.2,16.23,2019-03-07,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.22,16.18,2019-03-08,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.37,16.25,2019-03-11,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.29,16.38,2019-03-12,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.335,16.34,2019-03-13,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.4,16.35,2019-03-14,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.39,16.42,2019-03-15,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.49,16.45,2019-03-18,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.37,16.5,2019-03-19,BIZD,VANECK E T F TRUST,6726.0,135.0
92189F41,16.34,16.35,2019-03-20,BIZD,VANECK E T F TRUST,6726.0,135.0
