cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
23291C10,35.76,34.62,2019-01-02,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.83,35.41,2019-01-03,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,35.78,35.38,2019-01-04,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,35.81,36.05,2019-01-07,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.2,36.13,2019-01-08,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.47,36.51,2019-01-09,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.56,36.57,2019-01-10,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.39,36.39,2019-01-11,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.1,36.29,2019-01-14,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.15,36.11,2019-01-15,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.31,36.1,2019-01-16,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.3,36.1,2019-01-17,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,37.41,36.33,2019-01-18,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.17,37.11,2019-01-22,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,35.31,36.26,2019-01-23,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,35.53,35.17,2019-01-24,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.15,35.74,2019-01-25,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.77,35.86,2019-01-28,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.58,35.0,2019-01-29,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.67,34.78,2019-01-30,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.52,34.67,2019-01-31,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,35.05,34.55,2019-02-01,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.12,35.04,2019-02-04,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.6,36.13,2019-02-05,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.59,36.6,2019-02-06,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,35.17,36.37,2019-02-07,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.63,34.86,2019-02-08,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.44,34.64,2019-02-11,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.54,34.68,2019-02-12,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.3,34.36,2019-02-13,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,34.04,34.29,2019-02-14,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,35.13,34.3,2019-02-15,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,36.02,35.03,2019-02-19,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,35.31,36.01,2019-02-20,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,35.43,35.2,2019-02-21,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,48.72,41.0,2019-02-22,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,48.08,48.36,2019-02-25,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,48.23,48.0,2019-02-26,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,47.22,46.77,2019-02-27,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,46.98,47.0,2019-02-28,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,47.28,47.35,2019-03-01,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,46.3,47.3,2019-03-04,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,47.53,46.2,2019-03-05,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,46.26,47.24,2019-03-06,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,45.47,46.25,2019-03-07,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,45.03,45.2,2019-03-08,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,46.02,45.19,2019-03-11,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,45.46,46.01,2019-03-12,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,45.35,45.64,2019-03-13,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,44.87,45.3,2019-03-14,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,44.26,44.74,2019-03-15,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,45.17,44.18,2019-03-18,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,48.18,45.4,2019-03-19,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,50.11,47.93,2019-03-20,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,50.51,49.97,2019-03-21,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,48.01,50.21,2019-03-22,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,47.9,47.82,2019-03-25,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,47.94,48.22,2019-03-26,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,47.41,48.09,2019-03-27,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,49.95,47.45,2019-03-28,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,49.64,51.01,2019-03-29,BOOM,D M C GLOBAL INC,3490.0,295.0
23291C10,50.62,50.53,2019-04-01,BOOM,D M C GLOBAL INC,3490.0,295.0
