cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
82620P10,24.37,23.87,2019-01-02,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.27,24.23,2019-01-03,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.55,24.3,2019-01-04,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.76,24.35,2019-01-07,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.26,24.88,2019-01-08,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.1,25.38,2019-01-09,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.08,24.97,2019-01-10,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.05,24.94,2019-01-11,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.86,24.89,2019-01-14,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.94,24.68,2019-01-15,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.48,25.16,2019-01-16,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.58,25.39,2019-01-17,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.25,25.57,2019-01-18,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.75,25.85,2019-01-22,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.75,26.75,2019-01-23,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.13,26.75,2019-01-24,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.91,26.25,2019-01-25,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.92,26.75,2019-01-28,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.94,27.12,2019-01-29,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.63,26.93,2019-01-30,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.6,26.51,2019-01-31,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.76,26.8,2019-02-01,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.77,26.86,2019-02-04,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.74,26.75,2019-02-05,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.56,26.55,2019-02-06,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.84,26.74,2019-02-07,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.63,26.77,2019-02-08,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.7,26.69,2019-02-11,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.16,26.75,2019-02-12,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.25,27.17,2019-02-13,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.96,27.08,2019-02-14,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.4,27.01,2019-02-15,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.34,27.39,2019-02-19,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.13,27.17,2019-02-20,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.3,27.12,2019-02-21,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.46,27.3,2019-02-22,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.3,27.5,2019-02-25,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.94,27.29,2019-02-26,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.05,26.93,2019-02-27,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.95,27.22,2019-02-28,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.12,27.06,2019-03-01,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,27.15,27.0,2019-03-04,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.95,27.04,2019-03-05,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,26.09,26.96,2019-03-06,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.39,26.1,2019-03-07,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.37,25.25,2019-03-08,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.88,25.32,2019-03-11,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.56,25.87,2019-03-12,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.66,25.65,2019-03-13,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.5,25.66,2019-03-14,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.64,25.5,2019-03-15,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.86,25.63,2019-03-18,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,25.23,26.04,2019-03-19,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.28,25.24,2019-03-20,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.03,24.23,2019-03-21,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,23.17,23.88,2019-03-22,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,23.68,23.16,2019-03-25,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.2,23.8,2019-03-26,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.32,24.1,2019-03-27,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.42,24.44,2019-03-28,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.3,24.59,2019-03-29,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.7,24.46,2019-04-01,BSRR,SIERRA BANCORP,6020.0,210.0
82620P10,24.66,24.52,2019-04-02,BSRR,SIERRA BANCORP,6020.0,210.0
