cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
05547420,7.61,7.58,2019-01-02,BTCM,B I T MINING LTD,6719.0,13.0
05547420,7.91,7.61,2019-01-03,BTCM,B I T MINING LTD,6719.0,13.0
05547420,8.8,7.93,2019-01-04,BTCM,B I T MINING LTD,6719.0,13.0
05547420,9.1,8.5,2019-01-07,BTCM,B I T MINING LTD,6719.0,13.0
05547420,9.7,9.1,2019-01-08,BTCM,B I T MINING LTD,6719.0,13.0
05547420,10.36,9.83,2019-01-09,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.22,10.28,2019-01-10,BTCM,B I T MINING LTD,6719.0,13.0
05547420,12.82,12.89,2019-01-11,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.29,12.71,2019-01-14,BTCM,B I T MINING LTD,6719.0,13.0
05547420,12.95,13.3,2019-01-15,BTCM,B I T MINING LTD,6719.0,13.0
05547420,12.63,12.4,2019-01-16,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.0,12.43,2019-01-17,BTCM,B I T MINING LTD,6719.0,13.0
05547420,12.81,13.22,2019-01-18,BTCM,B I T MINING LTD,6719.0,13.0
05547420,12.9,12.51,2019-01-22,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.31,12.94,2019-01-23,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.17,13.31,2019-01-24,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.49,13.46,2019-01-25,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.52,13.69,2019-01-28,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.78,14.84,2019-01-29,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.8,14.95,2019-01-30,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.88,14.79,2019-01-31,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.95,14.88,2019-02-01,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.92,14.78,2019-02-04,BTCM,B I T MINING LTD,6719.0,13.0
05547420,15.7,14.92,2019-02-05,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.9,15.8,2019-02-06,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.55,14.77,2019-02-07,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.67,14.87,2019-02-08,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.82,14.85,2019-02-11,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.7,14.85,2019-02-12,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.8,14.8,2019-02-13,BTCM,B I T MINING LTD,6719.0,13.0
05547420,12.26,13.67,2019-02-14,BTCM,B I T MINING LTD,6719.0,13.0
05547420,12.02,12.25,2019-02-15,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.69,12.0,2019-02-19,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.33,13.95,2019-02-20,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.7,14.74,2019-02-21,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.07,14.61,2019-02-22,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.1,14.44,2019-02-25,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.06,13.09,2019-02-26,BTCM,B I T MINING LTD,6719.0,13.0
05547420,15.0,14.04,2019-02-27,BTCM,B I T MINING LTD,6719.0,13.0
05547420,15.2,14.96,2019-02-28,BTCM,B I T MINING LTD,6719.0,13.0
05547420,15.69,15.25,2019-03-01,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.54,15.7,2019-03-04,BTCM,B I T MINING LTD,6719.0,13.0
05547420,15.07,14.54,2019-03-05,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.46,14.91,2019-03-06,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.57,14.88,2019-03-07,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.74,14.41,2019-03-08,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.12,14.98,2019-03-11,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.88,14.6,2019-03-12,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.43,14.93,2019-03-13,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.41,14.47,2019-03-14,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.28,14.59,2019-03-15,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.28,14.38,2019-03-18,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.38,14.38,2019-03-19,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.32,14.27,2019-03-20,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.26,14.4,2019-03-21,BTCM,B I T MINING LTD,6719.0,13.0
05547420,14.08,14.16,2019-03-22,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.99,13.98,2019-03-25,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.75,14.25,2019-03-26,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.95,13.65,2019-03-27,BTCM,B I T MINING LTD,6719.0,13.0
05547420,13.91,13.76,2019-03-28,BTCM,B I T MINING LTD,6719.0,13.0
