cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
09257P10,20.8,20.47,2019-01-02,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.07,20.95,2019-01-03,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.07,21.09,2019-01-04,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.28,21.13,2019-01-07,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.41,21.31,2019-01-08,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.42,21.42,2019-01-09,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.51,21.37,2019-01-10,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.56,21.52,2019-01-11,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.53,21.57,2019-01-14,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.52,21.42,2019-01-15,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.63,21.55,2019-01-16,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.65,21.63,2019-01-17,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.56,21.58,2019-01-18,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.65,21.55,2019-01-22,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.61,21.64,2019-01-23,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.69,21.62,2019-01-24,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.67,21.67,2019-01-25,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.68,21.75,2019-01-28,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.61,21.65,2019-01-29,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.66,21.67,2019-01-30,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.69,21.73,2019-01-31,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.73,21.72,2019-02-01,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.83,21.73,2019-02-04,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.84,21.84,2019-02-05,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.9,21.98,2019-02-06,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
09257P10,21.92,21.94,2019-02-07,BTT,BLACKROCK MUNI 2030 TARGET TM TR,6726.0,139.0
