cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
10948C10,10.67,10.09,2019-01-02,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,10.63,10.54,2019-01-03,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,11.5,10.82,2019-01-04,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,11.67,11.53,2019-01-07,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,12.36,11.77,2019-01-08,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,12.67,12.41,2019-01-09,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,13.14,12.7,2019-01-10,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,13.72,13.26,2019-01-11,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.09,13.67,2019-01-14,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.32,14.09,2019-01-15,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.46,14.28,2019-01-16,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.24,14.52,2019-01-17,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.35,14.26,2019-01-18,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.33,14.23,2019-01-22,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.24,14.41,2019-01-23,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.67,14.22,2019-01-24,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.85,14.86,2019-01-25,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.85,14.85,2019-01-28,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.43,14.84,2019-01-29,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.44,14.56,2019-01-30,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.81,14.46,2019-01-31,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.62,14.79,2019-02-01,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.55,14.45,2019-02-04,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.88,14.51,2019-02-05,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,14.74,14.81,2019-02-06,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,13.23,13.64,2019-02-07,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
10948C10,12.75,13.13,2019-02-08,BV,BRIGHTVIEW HOLDINGS INC,781.0,69.0
