cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
06684L10,29.79,28.23,2019-01-02,BZUN,BAOZUN INC,9999.0,36.0
06684L10,28.37,29.23,2019-01-03,BZUN,BAOZUN INC,9999.0,36.0
06684L10,30.32,29.0,2019-01-04,BZUN,BAOZUN INC,9999.0,36.0
06684L10,31.53,30.83,2019-01-07,BZUN,BAOZUN INC,9999.0,36.0
06684L10,32.03,32.2,2019-01-08,BZUN,BAOZUN INC,9999.0,36.0
06684L10,33.0,32.55,2019-01-09,BZUN,BAOZUN INC,9999.0,36.0
06684L10,31.81,32.63,2019-01-10,BZUN,BAOZUN INC,9999.0,36.0
06684L10,31.52,31.65,2019-01-11,BZUN,BAOZUN INC,9999.0,36.0
06684L10,29.71,30.63,2019-01-14,BZUN,BAOZUN INC,9999.0,36.0
06684L10,30.3,29.95,2019-01-15,BZUN,BAOZUN INC,9999.0,36.0
06684L10,30.82,30.6,2019-01-16,BZUN,BAOZUN INC,9999.0,36.0
06684L10,31.33,30.69,2019-01-17,BZUN,BAOZUN INC,9999.0,36.0
06684L10,33.29,31.8,2019-01-18,BZUN,BAOZUN INC,9999.0,36.0
06684L10,32.41,32.75,2019-01-22,BZUN,BAOZUN INC,9999.0,36.0
06684L10,32.42,32.84,2019-01-23,BZUN,BAOZUN INC,9999.0,36.0
06684L10,32.89,32.25,2019-01-24,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.44,33.73,2019-01-25,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.3,33.71,2019-01-28,BZUN,BAOZUN INC,9999.0,36.0
06684L10,33.74,34.03,2019-01-29,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.41,34.52,2019-01-30,BZUN,BAOZUN INC,9999.0,36.0
06684L10,35.8,34.67,2019-01-31,BZUN,BAOZUN INC,9999.0,36.0
06684L10,35.2,35.8,2019-02-01,BZUN,BAOZUN INC,9999.0,36.0
06684L10,35.9,35.14,2019-02-04,BZUN,BAOZUN INC,9999.0,36.0
06684L10,36.2,36.01,2019-02-05,BZUN,BAOZUN INC,9999.0,36.0
06684L10,36.37,36.27,2019-02-06,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.11,35.88,2019-02-07,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.04,33.59,2019-02-08,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.13,34.61,2019-02-11,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.58,34.56,2019-02-12,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.97,35.03,2019-02-13,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.84,34.88,2019-02-14,BZUN,BAOZUN INC,9999.0,36.0
06684L10,33.14,35.07,2019-02-15,BZUN,BAOZUN INC,9999.0,36.0
06684L10,33.96,32.8,2019-02-19,BZUN,BAOZUN INC,9999.0,36.0
06684L10,35.64,34.14,2019-02-20,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.58,35.56,2019-02-21,BZUN,BAOZUN INC,9999.0,36.0
06684L10,36.98,35.08,2019-02-22,BZUN,BAOZUN INC,9999.0,36.0
06684L10,38.51,39.5,2019-02-25,BZUN,BAOZUN INC,9999.0,36.0
06684L10,38.52,38.18,2019-02-26,BZUN,BAOZUN INC,9999.0,36.0
06684L10,37.79,38.24,2019-02-27,BZUN,BAOZUN INC,9999.0,36.0
06684L10,37.45,38.15,2019-02-28,BZUN,BAOZUN INC,9999.0,36.0
06684L10,37.06,38.5,2019-03-01,BZUN,BAOZUN INC,9999.0,36.0
06684L10,38.6,37.78,2019-03-04,BZUN,BAOZUN INC,9999.0,36.0
06684L10,39.44,38.58,2019-03-05,BZUN,BAOZUN INC,9999.0,36.0
06684L10,38.89,42.0,2019-03-06,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.94,38.38,2019-03-07,BZUN,BAOZUN INC,9999.0,36.0
06684L10,34.41,33.03,2019-03-08,BZUN,BAOZUN INC,9999.0,36.0
06684L10,35.03,34.735,2019-03-11,BZUN,BAOZUN INC,9999.0,36.0
06684L10,35.23,35.69,2019-03-12,BZUN,BAOZUN INC,9999.0,36.0
06684L10,35.93,35.0,2019-03-13,BZUN,BAOZUN INC,9999.0,36.0
06684L10,35.95,35.75,2019-03-14,BZUN,BAOZUN INC,9999.0,36.0
06684L10,37.27,36.21,2019-03-15,BZUN,BAOZUN INC,9999.0,36.0
06684L10,38.29,37.77,2019-03-18,BZUN,BAOZUN INC,9999.0,36.0
06684L10,38.98,38.63,2019-03-19,BZUN,BAOZUN INC,9999.0,36.0
06684L10,36.81,38.81,2019-03-20,BZUN,BAOZUN INC,9999.0,36.0
06684L10,37.99,36.49,2019-03-21,BZUN,BAOZUN INC,9999.0,36.0
06684L10,36.65,37.8,2019-03-22,BZUN,BAOZUN INC,9999.0,36.0
06684L10,36.92,35.99,2019-03-25,BZUN,BAOZUN INC,9999.0,36.0
06684L10,37.83,37.15,2019-03-26,BZUN,BAOZUN INC,9999.0,36.0
06684L10,37.82,37.92,2019-03-27,BZUN,BAOZUN INC,9999.0,36.0
