cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
14575E10,22.04,21.08,2019-01-02,CARS,CARS COM INC,5012.0,82.0
14575E10,21.42,21.86,2019-01-03,CARS,CARS COM INC,5012.0,82.0
14575E10,22.25,21.72,2019-01-04,CARS,CARS COM INC,5012.0,82.0
14575E10,22.33,22.17,2019-01-07,CARS,CARS COM INC,5012.0,82.0
14575E10,22.82,22.55,2019-01-08,CARS,CARS COM INC,5012.0,82.0
14575E10,23.26,23.0,2019-01-09,CARS,CARS COM INC,5012.0,82.0
14575E10,23.02,23.09,2019-01-10,CARS,CARS COM INC,5012.0,82.0
14575E10,23.07,23.04,2019-01-11,CARS,CARS COM INC,5012.0,82.0
14575E10,22.55,22.84,2019-01-14,CARS,CARS COM INC,5012.0,82.0
14575E10,23.4,22.86,2019-01-15,CARS,CARS COM INC,5012.0,82.0
14575E10,23.16,23.46,2019-01-16,CARS,CARS COM INC,5012.0,82.0
14575E10,24.71,25.9,2019-01-17,CARS,CARS COM INC,5012.0,82.0
14575E10,24.98,24.9,2019-01-18,CARS,CARS COM INC,5012.0,82.0
14575E10,25.18,25.36,2019-01-22,CARS,CARS COM INC,5012.0,82.0
14575E10,25.23,25.3,2019-01-23,CARS,CARS COM INC,5012.0,82.0
14575E10,25.34,25.2,2019-01-24,CARS,CARS COM INC,5012.0,82.0
14575E10,25.89,25.47,2019-01-25,CARS,CARS COM INC,5012.0,82.0
14575E10,26.18,25.63,2019-01-28,CARS,CARS COM INC,5012.0,82.0
14575E10,26.02,26.21,2019-01-29,CARS,CARS COM INC,5012.0,82.0
14575E10,26.99,27.71,2019-01-30,CARS,CARS COM INC,5012.0,82.0
14575E10,27.31,26.97,2019-01-31,CARS,CARS COM INC,5012.0,82.0
14575E10,27.37,27.28,2019-02-01,CARS,CARS COM INC,5012.0,82.0
14575E10,27.35,27.32,2019-02-04,CARS,CARS COM INC,5012.0,82.0
14575E10,26.82,27.27,2019-02-05,CARS,CARS COM INC,5012.0,82.0
14575E10,26.58,26.81,2019-02-06,CARS,CARS COM INC,5012.0,82.0
14575E10,26.34,26.56,2019-02-07,CARS,CARS COM INC,5012.0,82.0
14575E10,26.0,26.25,2019-02-08,CARS,CARS COM INC,5012.0,82.0
14575E10,25.86,26.15,2019-02-11,CARS,CARS COM INC,5012.0,82.0
14575E10,26.45,26.13,2019-02-12,CARS,CARS COM INC,5012.0,82.0
14575E10,25.75,26.48,2019-02-13,CARS,CARS COM INC,5012.0,82.0
14575E10,25.76,25.73,2019-02-14,CARS,CARS COM INC,5012.0,82.0
14575E10,25.34,25.94,2019-02-15,CARS,CARS COM INC,5012.0,82.0
14575E10,24.99,25.31,2019-02-19,CARS,CARS COM INC,5012.0,82.0
14575E10,25.08,24.8,2019-02-20,CARS,CARS COM INC,5012.0,82.0
14575E10,24.85,25.01,2019-02-21,CARS,CARS COM INC,5012.0,82.0
14575E10,25.16,25.02,2019-02-22,CARS,CARS COM INC,5012.0,82.0
14575E10,25.01,25.48,2019-02-25,CARS,CARS COM INC,5012.0,82.0
14575E10,24.83,25.01,2019-02-26,CARS,CARS COM INC,5012.0,82.0
14575E10,24.7,24.71,2019-02-27,CARS,CARS COM INC,5012.0,82.0
14575E10,23.54,24.7,2019-02-28,CARS,CARS COM INC,5012.0,82.0
14575E10,24.02,23.47,2019-03-01,CARS,CARS COM INC,5012.0,82.0
14575E10,23.96,24.05,2019-03-04,CARS,CARS COM INC,5012.0,82.0
14575E10,23.09,23.88,2019-03-05,CARS,CARS COM INC,5012.0,82.0
14575E10,23.21,23.11,2019-03-06,CARS,CARS COM INC,5012.0,82.0
14575E10,22.46,23.2,2019-03-07,CARS,CARS COM INC,5012.0,82.0
14575E10,22.75,22.4,2019-03-08,CARS,CARS COM INC,5012.0,82.0
14575E10,22.92,22.86,2019-03-11,CARS,CARS COM INC,5012.0,82.0
14575E10,23.15,22.91,2019-03-12,CARS,CARS COM INC,5012.0,82.0
14575E10,22.34,23.17,2019-03-13,CARS,CARS COM INC,5012.0,82.0
14575E10,22.87,22.34,2019-03-14,CARS,CARS COM INC,5012.0,82.0
14575E10,22.72,23.0,2019-03-15,CARS,CARS COM INC,5012.0,82.0
14575E10,22.87,22.56,2019-03-18,CARS,CARS COM INC,5012.0,82.0
14575E10,22.99,22.94,2019-03-19,CARS,CARS COM INC,5012.0,82.0
14575E10,23.23,22.89,2019-03-20,CARS,CARS COM INC,5012.0,82.0
14575E10,23.3,23.06,2019-03-21,CARS,CARS COM INC,5012.0,82.0
14575E10,21.8,23.25,2019-03-22,CARS,CARS COM INC,5012.0,82.0
14575E10,22.03,21.77,2019-03-25,CARS,CARS COM INC,5012.0,82.0
14575E10,22.53,22.2,2019-03-26,CARS,CARS COM INC,5012.0,82.0
14575E10,22.77,22.48,2019-03-27,CARS,CARS COM INC,5012.0,82.0
14575E10,22.74,22.74,2019-03-28,CARS,CARS COM INC,5012.0,82.0
14575E10,22.8,22.91,2019-03-29,CARS,CARS COM INC,5012.0,82.0
14575E10,23.06,23.0,2019-04-01,CARS,CARS COM INC,5012.0,82.0
14575E10,23.16,23.07,2019-04-02,CARS,CARS COM INC,5012.0,82.0
14575E10,22.98,23.4,2019-04-03,CARS,CARS COM INC,5012.0,82.0
14575E10,22.87,22.99,2019-04-04,CARS,CARS COM INC,5012.0,82.0
14575E10,23.0,22.98,2019-04-05,CARS,CARS COM INC,5012.0,82.0
14575E10,22.77,22.98,2019-04-08,CARS,CARS COM INC,5012.0,82.0
14575E10,22.79,22.61,2019-04-09,CARS,CARS COM INC,5012.0,82.0
14575E10,23.0,22.8,2019-04-10,CARS,CARS COM INC,5012.0,82.0
14575E10,21.72,23.01,2019-04-11,CARS,CARS COM INC,5012.0,82.0
14575E10,21.53,21.83,2019-04-12,CARS,CARS COM INC,5012.0,82.0
14575E10,21.67,21.56,2019-04-15,CARS,CARS COM INC,5012.0,82.0
14575E10,20.27,21.75,2019-04-16,CARS,CARS COM INC,5012.0,82.0
14575E10,21.57,20.44,2019-04-17,CARS,CARS COM INC,5012.0,82.0
14575E10,20.7,21.49,2019-04-18,CARS,CARS COM INC,5012.0,82.0
14575E10,20.7,20.58,2019-04-22,CARS,CARS COM INC,5012.0,82.0
14575E10,20.43,20.85,2019-04-23,CARS,CARS COM INC,5012.0,82.0
14575E10,20.8,20.39,2019-04-24,CARS,CARS COM INC,5012.0,82.0
14575E10,20.76,20.71,2019-04-25,CARS,CARS COM INC,5012.0,82.0
14575E10,20.9,20.77,2019-04-26,CARS,CARS COM INC,5012.0,82.0
14575E10,20.91,20.91,2019-04-29,CARS,CARS COM INC,5012.0,82.0
