cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
19764110,15.27,15.18,2019-01-02,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.09,15.2,2019-01-03,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.43,15.22,2019-01-04,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.51,15.36,2019-01-07,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.58,15.6,2019-01-08,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.2,15.45,2019-01-09,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.03,14.96,2019-01-10,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.97,14.97,2019-01-11,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.96,14.91,2019-01-14,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.0,15.0,2019-01-15,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.14,15.06,2019-01-16,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.02,15.09,2019-01-17,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.01,15.0,2019-01-18,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.95,15.01,2019-01-22,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.94,14.98,2019-01-23,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.91,14.95,2019-01-24,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.84,14.98,2019-01-25,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.76,14.89,2019-01-28,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.72,14.76,2019-01-29,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.72,14.8,2019-01-30,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,14.81,14.73,2019-01-31,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.28,15.0,2019-02-01,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.5,15.31,2019-02-04,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.71,15.55,2019-02-05,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.77,15.76,2019-02-06,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.8,15.76,2019-02-07,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.77,15.73,2019-02-08,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.92,15.74,2019-02-11,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.93,15.95,2019-02-12,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.91,15.98,2019-02-13,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.81,15.84,2019-02-14,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.95,15.9,2019-02-15,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.93,15.85,2019-02-19,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.92,15.89,2019-02-20,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.98,15.95,2019-02-21,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.97,15.95,2019-02-22,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.91,15.97,2019-02-25,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.8,15.9,2019-02-26,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.95,15.78,2019-02-27,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,16.03,15.93,2019-02-28,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,16.04,16.09,2019-03-01,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,16.01,16.05,2019-03-04,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,16.06,16.04,2019-03-05,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,16.05,16.05,2019-03-06,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.73,16.03,2019-03-07,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.89,15.72,2019-03-08,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,16.03,15.9,2019-03-11,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.95,16.03,2019-03-12,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.99,15.99,2019-03-13,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.97,15.98,2019-03-14,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.98,15.96,2019-03-15,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.93,15.99,2019-03-18,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.76,15.93,2019-03-19,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
19764110,15.65,15.74,2019-03-20,CLBK,COLUMBIA FINANCIAL INC,9999.0,49.0
