cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
18976310,1.55,1.5,2019-01-02,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2837,1.4,2019-01-03,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2479,1.21,2019-01-04,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.1963,1.25,2019-01-07,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.21,1.2,2019-01-08,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.1901,1.3,2019-01-09,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.16,1.244,2019-01-10,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.11,1.17,2019-01-11,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.27,1.24,2019-01-14,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.1,1.35,2019-01-15,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.0899,1.1,2019-01-16,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.1,1.09,2019-01-17,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.17,1.11,2019-01-18,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.07,1.2,2019-01-22,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.03,1.09,2019-01-23,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.9616,1.0,2019-01-24,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.0199,0.9601,2019-01-25,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.9648,0.96,2019-01-28,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.1156,0.98,2019-01-29,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,2.24,3.24,2019-01-30,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.36,1.55,2019-01-31,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.3,1.31,2019-02-01,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.32,1.29,2019-02-04,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.3,1.35,2019-02-05,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.27,1.28,2019-02-06,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2,1.24,2019-02-07,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.22,1.2,2019-02-08,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2,1.25,2019-02-11,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.16,1.2,2019-02-12,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.16,1.17,2019-02-13,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.17,1.19,2019-02-14,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.16,1.2,2019-02-15,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2,1.18,2019-02-19,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.17,1.21,2019-02-20,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.165,1.17,2019-02-21,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.18,1.14,2019-02-22,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2099,1.21,2019-02-25,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.24,1.3,2019-02-26,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.245,1.21,2019-02-27,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.24,1.21,2019-02-28,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2,1.2,2019-03-01,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.23,1.21,2019-03-04,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.22,1.2,2019-03-05,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.18,1.21,2019-03-06,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.23,1.34,2019-03-07,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2,1.16,2019-03-08,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.19,1.23,2019-03-11,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.19,1.18,2019-03-12,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2,1.21,2019-03-13,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.15,1.18,2019-03-14,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.15,1.16,2019-03-15,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.16,1.15,2019-03-18,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.2,1.18,2019-03-19,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.18,1.2,2019-03-20,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.21,1.211,2019-03-21,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.17,1.18,2019-03-22,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.19,1.19,2019-03-25,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.16,1.2,2019-03-26,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.11,1.16,2019-03-27,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.03,1.08,2019-03-28,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.06,1.04,2019-03-29,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.07,1.03,2019-04-01,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.12,1.12,2019-04-02,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.13,1.14,2019-04-03,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.07,1.12,2019-04-04,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.07,1.096,2019-04-05,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.07,1.11,2019-04-08,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.08,1.12,2019-04-09,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.08,1.09,2019-04-10,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.0722,1.1,2019-04-11,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.08,1.07,2019-04-12,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.065,1.07,2019-04-15,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.03,1.09,2019-04-16,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.02,1.05,2019-04-17,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.03,1.04,2019-04-18,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.9924,1.03,2019-04-22,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.04,1.0,2019-04-23,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.03,1.02,2019-04-24,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.02,1.06,2019-04-25,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.02,1.03,2019-04-26,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.0199,1.02,2019-04-29,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.01,1.0,2019-04-30,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.9975,1.01,2019-05-01,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.982,0.96,2019-05-02,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.9805,0.96,2019-05-03,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.984,0.98,2019-05-06,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.977,0.96,2019-05-07,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.01,1.0,2019-05-08,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.17,1.03,2019-05-09,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.0973,1.1,2019-05-10,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.0434,1.09,2019-05-13,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,1.09,1.02,2019-05-14,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.96,0.97,2019-05-15,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.935,0.96,2019-05-16,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.8991,0.9201,2019-05-17,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.869,0.89,2019-05-20,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.91,0.957,2019-05-21,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.9903,1.13,2019-05-22,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.8648,0.9875,2019-05-23,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.8351,0.8747,2019-05-24,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.817,0.828,2019-05-28,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.832,0.85,2019-05-29,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.82,0.849,2019-05-30,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.801,0.82,2019-05-31,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.805,0.85,2019-06-03,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.79,0.81,2019-06-04,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.77,0.83,2019-06-05,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.77,0.77,2019-06-06,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.869,0.77,2019-06-07,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.83,0.9,2019-06-10,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.8444,0.8494,2019-06-11,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.821,0.9,2019-06-12,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.8172,0.81,2019-06-13,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.8096,0.8,2019-06-14,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.792,0.791,2019-06-17,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.7401,0.782,2019-06-18,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.7749,0.7351,2019-06-19,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.7891,0.7749,2019-06-20,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.752,0.799,2019-06-21,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.712,0.76,2019-06-24,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.75,0.7531,2019-06-25,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.7651,0.79,2019-06-26,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.8,0.7751,2019-06-27,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.804,0.828,2019-06-28,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.806,0.836,2019-07-01,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.825,0.85,2019-07-02,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.8651,0.85,2019-07-03,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.83,0.855,2019-07-05,CODX,C O DIAGNOSTICS INC,9999.0,59.0
18976310,0.84,0.8223,2019-07-08,CODX,C O DIAGNOSTICS INC,9999.0,59.0
