cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
21900C30,1.39,1.28,2019-01-02,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.39,1.39,2019-01-03,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.69,1.42,2019-01-04,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.72,1.73,2019-01-07,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.74,1.72,2019-01-08,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.73,1.78,2019-01-09,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.66,1.69,2019-01-10,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.64,1.66,2019-01-11,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.63,1.65,2019-01-14,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.89,1.62,2019-01-15,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.93,1.99,2019-01-16,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.9,2.25,2019-01-17,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.71,1.76,2019-01-18,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.86,1.65,2019-01-22,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.73,1.85,2019-01-23,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.74,1.78,2019-01-24,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.71,1.74,2019-01-25,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.73,1.68,2019-01-28,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.78,1.69,2019-01-29,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.88,1.85,2019-01-30,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,2.01,1.86,2019-01-31,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.98,2.05,2019-02-01,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.98,1.99,2019-02-04,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.99,1.99,2019-02-05,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.95,2.03,2019-02-06,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.9,1.94,2019-02-07,CRMD,CORMEDIX INC,2834.0,165.0
21900C30,1.97,1.87,2019-02-08,CRMD,CORMEDIX INC,2834.0,165.0
