cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
22948Q10,53.32,52.5,2019-01-02,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,53.75,53.07,2019-01-03,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,54.56,53.46,2019-01-04,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,56.25,54.95,2019-01-07,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,57.93,56.65,2019-01-08,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,57.55,58.07,2019-01-09,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,58.77,57.57,2019-01-10,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,59.69,58.79,2019-01-11,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,59.26,59.918,2019-01-14,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,60.37,59.25,2019-01-15,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,62.09,60.7,2019-01-16,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,62.07,61.98,2019-01-17,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,63.55,62.19,2019-01-18,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,60.85,62.66,2019-01-22,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,59.89,61.0,2019-01-23,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,60.57,59.41,2019-01-24,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,59.99,60.51,2019-01-25,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,59.52,59.5,2019-01-28,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,59.07,59.62,2019-01-29,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,59.77,59.01,2019-01-30,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,61.07,59.68,2019-01-31,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,60.37,60.65,2019-02-01,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,61.0,60.8,2019-02-04,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,61.25,61.12,2019-02-05,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,60.49,58.8,2019-02-06,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
22948Q10,60.11,60.27,2019-02-07,CTO,C T O REALTY GROWTH INC NEW,6798.0,434.0
