cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
22966310,28.07,28.51,2019-01-02,CUBE,CUBESMART,6798.0,235.0
22966310,28.36,28.08,2019-01-03,CUBE,CUBESMART,6798.0,235.0
22966310,28.13,28.37,2019-01-04,CUBE,CUBESMART,6798.0,235.0
22966310,28.15,28.22,2019-01-07,CUBE,CUBESMART,6798.0,235.0
22966310,28.9,28.17,2019-01-08,CUBE,CUBESMART,6798.0,235.0
22966310,28.37,28.47,2019-01-09,CUBE,CUBESMART,6798.0,235.0
22966310,28.79,28.42,2019-01-10,CUBE,CUBESMART,6798.0,235.0
22966310,28.7,28.88,2019-01-11,CUBE,CUBESMART,6798.0,235.0
22966310,28.77,28.7,2019-01-14,CUBE,CUBESMART,6798.0,235.0
22966310,29.42,28.82,2019-01-15,CUBE,CUBESMART,6798.0,235.0
22966310,29.42,29.24,2019-01-16,CUBE,CUBESMART,6798.0,235.0
22966310,29.41,29.33,2019-01-17,CUBE,CUBESMART,6798.0,235.0
22966310,29.25,29.35,2019-01-18,CUBE,CUBESMART,6798.0,235.0
22966310,29.19,29.3,2019-01-22,CUBE,CUBESMART,6798.0,235.0
22966310,29.07,29.18,2019-01-23,CUBE,CUBESMART,6798.0,235.0
22966310,29.1,29.12,2019-01-24,CUBE,CUBESMART,6798.0,235.0
22966310,29.48,29.12,2019-01-25,CUBE,CUBESMART,6798.0,235.0
22966310,29.91,29.45,2019-01-28,CUBE,CUBESMART,6798.0,235.0
22966310,30.61,29.96,2019-01-29,CUBE,CUBESMART,6798.0,235.0
22966310,30.62,30.48,2019-01-30,CUBE,CUBESMART,6798.0,235.0
22966310,30.95,30.59,2019-01-31,CUBE,CUBESMART,6798.0,235.0
22966310,30.5,30.89,2019-02-01,CUBE,CUBESMART,6798.0,235.0
22966310,30.59,30.42,2019-02-04,CUBE,CUBESMART,6798.0,235.0
22966310,30.75,30.65,2019-02-05,CUBE,CUBESMART,6798.0,235.0
22966310,30.83,30.75,2019-02-06,CUBE,CUBESMART,6798.0,235.0
22966310,31.21,30.79,2019-02-07,CUBE,CUBESMART,6798.0,235.0
22966310,31.34,31.27,2019-02-08,CUBE,CUBESMART,6798.0,235.0
22966310,31.19,31.25,2019-02-11,CUBE,CUBESMART,6798.0,235.0
22966310,30.88,31.18,2019-02-12,CUBE,CUBESMART,6798.0,235.0
22966310,31.05,30.79,2019-02-13,CUBE,CUBESMART,6798.0,235.0
22966310,31.13,31.15,2019-02-14,CUBE,CUBESMART,6798.0,235.0
22966310,31.21,31.18,2019-02-15,CUBE,CUBESMART,6798.0,235.0
22966310,31.24,31.24,2019-02-19,CUBE,CUBESMART,6798.0,235.0
22966310,30.48,31.1,2019-02-20,CUBE,CUBESMART,6798.0,235.0
22966310,29.6,30.36,2019-02-21,CUBE,CUBESMART,6798.0,235.0
22966310,30.22,29.64,2019-02-22,CUBE,CUBESMART,6798.0,235.0
22966310,30.1,30.13,2019-02-25,CUBE,CUBESMART,6798.0,235.0
22966310,30.23,30.09,2019-02-26,CUBE,CUBESMART,6798.0,235.0
22966310,30.25,30.14,2019-02-27,CUBE,CUBESMART,6798.0,235.0
22966310,30.64,30.2,2019-02-28,CUBE,CUBESMART,6798.0,235.0
22966310,30.42,30.59,2019-03-01,CUBE,CUBESMART,6798.0,235.0
22966310,30.67,30.52,2019-03-04,CUBE,CUBESMART,6798.0,235.0
22966310,30.75,30.58,2019-03-05,CUBE,CUBESMART,6798.0,235.0
22966310,30.48,30.74,2019-03-06,CUBE,CUBESMART,6798.0,235.0
