cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
25460G18,18.74,18.12,2019-01-02,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,17.4,18.34,2019-01-03,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,19.62,18.48,2019-01-04,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,20.55,20.0,2019-01-07,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,20.62,20.88,2019-01-08,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,22.01,21.22,2019-01-09,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,22.12,21.31,2019-01-10,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,21.4,21.71,2019-01-11,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,20.21,20.59,2019-01-14,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,20.92,20.76,2019-01-15,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,21.75,21.06,2019-01-16,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,22.0,21.62,2019-01-17,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,23.05,22.79,2019-01-18,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,21.48,22.18,2019-01-22,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,21.89,22.26,2019-01-23,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,22.54,22.13,2019-01-24,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,24.0,23.33,2019-01-25,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,23.42,23.19,2019-01-28,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,23.19,23.68,2019-01-29,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,23.95,24.01,2019-01-30,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,25.17,24.17,2019-01-31,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,24.78,25.2,2019-02-01,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,25.14,24.94,2019-02-04,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,26.42,25.61,2019-02-05,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,25.55,26.34,2019-02-06,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,24.01,25.0,2019-02-07,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,24.44,23.75,2019-02-08,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,25.33,25.31,2019-02-11,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,25.9,25.89,2019-02-12,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,25.97,26.44,2019-02-13,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,26.16,25.68,2019-02-14,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,25.2,26.04,2019-02-15,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,25.82,24.95,2019-02-19,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,26.34,26.12,2019-02-20,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,25.77,26.59,2019-02-21,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,27.59,26.45,2019-02-22,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,29.13,29.77,2019-02-25,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,28.67,28.25,2019-02-26,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,28.71,28.39,2019-02-27,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,28.51,29.0,2019-02-28,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,28.1,29.16,2019-03-01,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,28.66,29.17,2019-03-04,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,30.52,29.39,2019-03-05,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,29.77,30.6,2019-03-06,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,27.3,28.93,2019-03-07,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
25460G18,26.48,25.14,2019-03-08,CWEB,DIREXION SHARES E T F TRUST,6726.0,88.0
