cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
12769G10,37.95,35.43,2019-01-02,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,37.38,37.31,2019-01-03,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,39.45,38.28,2019-01-04,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,40.8,39.87,2019-01-07,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,42.18,41.27,2019-01-08,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,42.15,42.38,2019-01-09,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,42.68,41.95,2019-01-10,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,42.85,42.42,2019-01-11,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,42.06,42.52,2019-01-14,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,42.04,42.07,2019-01-15,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,42.69,42.15,2019-01-16,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,42.94,42.25,2019-01-17,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,44.38,42.86,2019-01-18,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,43.66,44.22,2019-01-22,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,43.33,43.86,2019-01-23,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,43.73,43.41,2019-01-24,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,44.39,44.28,2019-01-25,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,44.56,43.9,2019-01-28,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,44.11,44.67,2019-01-29,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,44.91,44.54,2019-01-30,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,46.62,44.97,2019-01-31,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,46.38,46.66,2019-02-01,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,46.78,46.74,2019-02-04,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,46.64,46.79,2019-02-05,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,46.93,46.71,2019-02-06,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,46.46,46.4,2019-02-07,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,45.84,46.14,2019-02-08,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,46.56,46.07,2019-02-11,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,47.42,46.9,2019-02-12,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,47.7,47.77,2019-02-13,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,47.52,47.25,2019-02-14,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,47.68,47.74,2019-02-15,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,47.87,47.67,2019-02-19,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,47.44,48.02,2019-02-20,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,47.35,47.45,2019-02-21,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,48.66,47.3,2019-02-22,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,48.09,48.94,2019-02-25,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,47.46,47.94,2019-02-26,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,47.48,47.25,2019-02-27,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
12769G10,48.21,45.96,2019-02-28,CZR,CAESARS ENTERTAINMENT INC DE,9999.0,85.0
