cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
24703L20,47.12,48.23,2019-01-02,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,45.13,46.56,2019-01-03,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,46.02,45.66,2019-01-04,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,46.32,45.93,2019-01-07,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,46.87,47.14,2019-01-08,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,46.94,47.07,2019-01-09,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,45.19,46.94,2019-01-10,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,44.47,44.95,2019-01-11,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,42.8,44.07,2019-01-14,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,43.01,43.05,2019-01-15,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,42.62,42.8,2019-01-16,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,43.71,42.71,2019-01-17,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,43.35,43.78,2019-01-18,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,44.06,43.88,2019-01-22,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,44.62,45.18,2019-01-23,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,44.96,44.91,2019-01-24,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,45.91,45.23,2019-01-25,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,46.9,45.9,2019-01-28,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,46.85,47.1,2019-01-29,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,48.0,47.35,2019-01-30,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,48.59,47.83,2019-01-31,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,49.65,48.98,2019-02-01,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,50.83,50.01,2019-02-04,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,51.07,51.27,2019-02-05,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,50.94,51.15,2019-02-06,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,50.44,50.6,2019-02-07,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,51.49,50.05,2019-02-08,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,52.02,51.87,2019-02-11,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,53.6,52.42,2019-02-12,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,53.95,53.9,2019-02-13,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,54.38,53.68,2019-02-14,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,55.0,54.79,2019-02-15,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,55.04,55.09,2019-02-19,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,55.54,55.27,2019-02-20,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,55.54,55.56,2019-02-21,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,56.18,55.83,2019-02-22,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,56.64,56.46,2019-02-25,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,56.73,56.3,2019-02-26,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,56.25,56.54,2019-02-27,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,55.82,56.2,2019-02-28,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,56.65,57.68,2019-03-01,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,55.34,57.07,2019-03-04,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,55.12,55.25,2019-03-05,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,53.73,54.82,2019-03-06,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,53.13,53.62,2019-03-07,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,52.35,52.58,2019-03-08,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,54.15,52.4,2019-03-11,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,54.7,54.24,2019-03-12,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,54.95,55.15,2019-03-13,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,57.18,56.0,2019-03-14,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,60.23,57.93,2019-03-15,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,60.49,60.35,2019-03-18,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,60.44,61.0,2019-03-19,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,59.63,60.38,2019-03-20,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,60.71,59.49,2019-03-21,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,59.55,59.9,2019-03-22,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,57.29,59.5,2019-03-25,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,58.89,57.92,2019-03-26,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,57.54,59.01,2019-03-27,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,56.92,57.46,2019-03-28,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,58.69,57.22,2019-03-29,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,60.43,59.78,2019-04-01,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,61.27,60.21,2019-04-02,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,61.59,61.26,2019-04-03,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,60.34,61.52,2019-04-04,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,62.2,60.44,2019-04-05,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,62.49,62.16,2019-04-08,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,61.73,62.29,2019-04-09,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,63.29,61.78,2019-04-10,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,63.86,63.47,2019-04-11,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,63.51,64.04,2019-04-12,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,63.88,63.6,2019-04-15,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,62.79,64.36,2019-04-16,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,62.75,63.11,2019-04-17,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,62.85,62.74,2019-04-18,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,63.25,62.78,2019-04-22,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,65.0,63.22,2019-04-23,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,66.25,64.98,2019-04-24,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,67.0,66.2,2019-04-25,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,65.36,66.06,2019-04-26,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,65.55,65.4,2019-04-29,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,67.41,65.65,2019-04-30,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,68.58,67.9,2019-05-01,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,68.14,68.44,2019-05-02,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,68.7,68.73,2019-05-03,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,68.19,67.24,2019-05-06,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,67.49,67.55,2019-05-07,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,67.1,67.04,2019-05-08,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,67.09,66.05,2019-05-09,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
24703L20,67.16,66.77,2019-05-10,DELL,DELL TECHNOLOGIES INC,3571.0,62.0
