cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
25490K28,63.1,60.5,2019-01-02,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,59.78,61.173,2019-01-03,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,65.5,62.37,2019-01-04,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,65.94,65.67,2019-01-07,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,66.45,66.05,2019-01-08,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,70.16,68.65,2019-01-09,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,71.76,69.1,2019-01-10,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,70.52,69.97,2019-01-11,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,68.79,67.93,2019-01-14,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,70.31,69.92,2019-01-15,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,72.8,71.7,2019-01-16,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,73.74,70.93,2019-01-17,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,74.93,74.63,2019-01-18,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,71.04,72.18,2019-01-22,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,72.96,72.78,2019-01-23,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,75.0,73.2,2019-01-24,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,78.12,77.53,2019-01-25,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,75.7,74.61,2019-01-28,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,75.98,76.77,2019-01-29,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,80.8,77.32,2019-01-30,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,82.83,81.27,2019-01-31,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,80.97,81.18,2019-02-01,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,81.39,80.2,2019-02-04,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,84.65,82.5,2019-02-05,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,81.39,83.59,2019-02-06,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,78.8,79.24,2019-02-07,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,77.28,76.91,2019-02-08,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,76.58,77.8,2019-02-11,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,78.64,78.47,2019-02-12,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
