cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
53261M10,2.48,2.31,2019-01-02,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.4,2.45,2019-01-03,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.53,2.44,2019-01-04,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.6,2.55,2019-01-07,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.65,2.63,2019-01-08,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.72,2.69,2019-01-09,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.77,2.72,2019-01-10,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.77,2.77,2019-01-11,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.74,2.78,2019-01-14,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.8,2.75,2019-01-15,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.77,2.8,2019-01-16,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.84,2.75,2019-01-17,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.85,2.81,2019-01-18,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.75,2.86,2019-01-22,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.77,2.75,2019-01-23,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.72,2.77,2019-01-24,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.84,2.74,2019-01-25,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.82,2.82,2019-01-28,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.86,2.91,2019-01-29,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.0,2.91,2019-01-30,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.12,3.12,2019-01-31,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.11,3.13,2019-02-01,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.1,3.11,2019-02-04,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.09,3.11,2019-02-05,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.08,3.09,2019-02-06,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.0,3.07,2019-02-07,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.01,2.98,2019-02-08,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.04,3.05,2019-02-11,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.97,3.05,2019-02-12,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.96,2.98,2019-02-13,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.97,2.97,2019-02-14,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.0,2.98,2019-02-15,EGIO,EDGIO INC,7389.0,145.0
53261M10,3.03,3.0,2019-02-19,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.99,3.03,2019-02-20,EGIO,EDGIO INC,7389.0,145.0
53261M10,2.98,3.0,2019-02-21,EGIO,EDGIO INC,7389.0,145.0
