cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
28264430,1.42,1.25,2019-01-02,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.56,1.42,2019-01-03,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.66,1.56,2019-01-04,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.6,1.65,2019-01-07,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.53,1.65,2019-01-08,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.55,1.55,2019-01-09,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.53,1.54,2019-01-10,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.53,1.53,2019-01-11,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.56,1.53,2019-01-14,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.72,1.6,2019-01-15,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.69,1.73,2019-01-16,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.66,1.68,2019-01-17,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.67,1.7,2019-01-18,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.65,1.67,2019-01-22,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.65,1.68,2019-01-23,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.74,1.65,2019-01-24,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.6969,1.73,2019-01-25,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.65,1.73,2019-01-28,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.63,1.63,2019-01-29,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.75,2.03,2019-01-30,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.74,1.75,2019-01-31,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.89,1.76,2019-02-01,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.95,1.93,2019-02-04,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.94,1.95,2019-02-05,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.93,1.96,2019-02-06,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.98,1.94,2019-02-07,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.98,1.97,2019-02-08,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.0,2.0,2019-02-11,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.21,2.04,2019-02-12,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.23,2.2,2019-02-13,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.19,2.25,2019-02-14,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.18,2.18,2019-02-15,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.15,2.21,2019-02-19,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.01,2.12,2019-02-20,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.11,2.02,2019-02-21,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.1,2.15,2019-02-22,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.19,2.15,2019-02-25,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.36,2.2,2019-02-26,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.33,2.38,2019-02-27,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.36,2.36,2019-02-28,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.31,2.4,2019-03-01,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.3,2.33,2019-03-04,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.38,2.3,2019-03-05,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.22,2.37,2019-03-06,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.18,2.22,2019-03-07,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.13,2.16,2019-03-08,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.14,2.11,2019-03-11,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.23,2.14,2019-03-12,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.28,2.22,2019-03-13,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.3,2.3,2019-03-14,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.48,2.3,2019-03-15,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.47,2.5,2019-03-18,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.5,2.49,2019-03-19,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.48,2.48,2019-03-20,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.44,2.48,2019-03-21,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.38,2.44,2019-03-22,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.36,2.37,2019-03-25,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.36,2.36,2019-03-26,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.4,2.38,2019-03-27,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.43,2.4,2019-03-28,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.51,2.44,2019-03-29,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.5,2.5,2019-04-01,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.51,2.48,2019-04-02,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.49,2.51,2019-04-03,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.51,2.5,2019-04-04,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.5,2.52,2019-04-05,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.5,2.51,2019-04-08,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.45,2.44,2019-04-09,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.47,2.46,2019-04-10,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.52,2.48,2019-04-11,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.52,2.52,2019-04-12,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.49,2.5,2019-04-15,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.44,2.5,2019-04-16,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.26,2.43,2019-04-17,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.23,2.24,2019-04-18,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.27,2.23,2019-04-22,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.37,2.24,2019-04-23,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.36,2.35,2019-04-24,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.31,2.33,2019-04-25,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.15,2.29,2019-04-26,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.18,2.15,2019-04-29,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.2,2.19,2019-04-30,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.17,2.25,2019-05-01,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.13,2.18,2019-05-02,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.2,2.11,2019-05-03,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.11,2.13,2019-05-06,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.01,2.1,2019-05-07,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.02,2.0,2019-05-08,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.82,1.99,2019-05-09,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.86,1.85,2019-05-10,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,1.76,1.9,2019-05-13,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
28264430,2.01,1.72,2019-05-14,EKSO,EKSO BIONICS HOLDINGS INC,9999.0,74.0
