cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
29251M10,72.36,69.4,2019-01-02,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,69.08,72.05,2019-01-03,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,72.55,70.0,2019-01-04,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,74.72,73.4,2019-01-07,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,75.46,75.56,2019-01-08,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,74.21,75.91,2019-01-09,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,74.59,74.13,2019-01-10,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,75.06,74.78,2019-01-11,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,72.82,74.36,2019-01-14,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,75.79,72.99,2019-01-15,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,73.59,75.69,2019-01-16,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,74.5,73.4,2019-01-17,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,76.9,74.57,2019-01-18,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,76.92,76.35,2019-01-22,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,77.25,77.65,2019-01-23,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,75.51,77.22,2019-01-24,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,82.24,76.27,2019-01-25,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,78.21,82.0,2019-01-28,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,76.97,78.0,2019-01-29,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,79.02,77.73,2019-01-30,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,79.43,78.93,2019-01-31,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,81.86,79.57,2019-02-01,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,82.52,82.15,2019-02-04,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,80.8,82.58,2019-02-05,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,83.8,80.98,2019-02-06,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,90.18,80.55,2019-02-07,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,90.63,89.45,2019-02-08,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,89.89,91.16,2019-02-11,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,90.41,90.0,2019-02-12,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,95.95,90.56,2019-02-13,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,97.0,95.56,2019-02-14,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,103.15,97.57,2019-02-15,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,101.22,105.0,2019-02-19,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,100.45,101.42,2019-02-20,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,98.02,100.3,2019-02-21,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,99.64,98.17,2019-02-22,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,100.65,100.66,2019-02-25,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,102.14,100.42,2019-02-26,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,103.08,102.24,2019-02-27,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,102.54,103.18,2019-02-28,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,105.66,103.69,2019-03-01,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,103.85,106.13,2019-03-04,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,103.09,103.94,2019-03-05,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,97.93,103.24,2019-03-06,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,97.89,98.21,2019-03-07,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,99.3,96.47,2019-03-08,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,102.08,99.16,2019-03-11,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,103.02,102.51,2019-03-12,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,101.37,103.65,2019-03-13,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,100.93,101.69,2019-03-14,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,101.24,101.22,2019-03-15,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,102.57,101.21,2019-03-18,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,103.77,103.02,2019-03-19,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,97.08,96.99,2019-03-20,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,99.66,96.52,2019-03-21,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,95.41,99.28,2019-03-22,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,94.94,95.86,2019-03-25,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,96.3,95.69,2019-03-26,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,93.87,96.29,2019-03-27,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,95.27,94.47,2019-03-28,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,95.52,95.69,2019-03-29,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,94.72,96.51,2019-04-01,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,95.95,95.07,2019-04-02,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,95.48,96.85,2019-04-03,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,93.76,95.49,2019-04-04,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,93.83,94.28,2019-04-05,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,92.52,93.77,2019-04-08,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,92.45,92.35,2019-04-09,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,94.84,92.66,2019-04-10,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,91.77,94.99,2019-04-11,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,92.2,92.6,2019-04-12,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,91.5,92.52,2019-04-15,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,91.59,91.82,2019-04-16,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,85.14,92.11,2019-04-17,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,85.8,85.47,2019-04-18,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,83.59,85.57,2019-04-22,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,89.19,85.5,2019-04-23,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,87.23,89.49,2019-04-24,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,88.75,87.23,2019-04-25,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,89.4,88.76,2019-04-26,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,87.7,89.58,2019-04-29,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,87.19,88.24,2019-04-30,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,85.42,87.35,2019-05-01,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
29251M10,86.39,85.36,2019-05-02,ENTA,ENANTA PHARMACEUTICALS INC,9999.0,94.0
