cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
29357K10,20.01,19.19,2019-01-02,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,19.57,19.82,2019-01-03,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,20.49,19.83,2019-01-04,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,20.55,20.49,2019-01-07,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,20.55,20.59,2019-01-08,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.68,20.7,2019-01-09,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.63,21.65,2019-01-10,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.27,21.51,2019-01-11,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.37,22.16,2019-01-14,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.4,22.47,2019-01-15,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.84,22.57,2019-01-16,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.01,22.74,2019-01-17,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.37,23.07,2019-01-18,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.57,23.2,2019-01-22,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.59,22.66,2019-01-23,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.52,22.55,2019-01-24,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.96,22.69,2019-01-25,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.67,22.68,2019-01-28,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.82,22.72,2019-01-29,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.59,22.8,2019-01-30,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.05,23.56,2019-01-31,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.24,23.05,2019-02-01,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.92,24.24,2019-02-04,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.24,24.02,2019-02-05,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.66,24.3,2019-02-06,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.57,23.52,2019-02-07,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.39,23.44,2019-02-08,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.96,23.56,2019-02-11,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.16,24.12,2019-02-12,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.5,24.23,2019-02-13,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.18,24.33,2019-02-14,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.71,24.4,2019-02-15,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.1,24.57,2019-02-19,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.48,25.06,2019-02-20,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.13,25.39,2019-02-21,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.35,25.2,2019-02-22,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.43,25.43,2019-02-25,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.28,25.34,2019-02-26,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.31,25.3,2019-02-27,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.52,25.24,2019-02-28,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.38,25.64,2019-03-01,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.5,25.38,2019-03-04,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.38,25.5,2019-03-05,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.99,25.43,2019-03-06,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.18,24.87,2019-03-07,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.21,24.06,2019-03-08,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.23,24.23,2019-03-11,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.68,24.2,2019-03-12,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.45,23.88,2019-03-13,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.71,24.47,2019-03-14,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.74,24.85,2019-03-15,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.47,24.88,2019-03-18,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.06,25.61,2019-03-19,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.35,25.03,2019-03-20,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.31,24.15,2019-03-21,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.6,24.15,2019-03-22,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.35,22.67,2019-03-25,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.05,22.35,2019-03-26,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.4,22.02,2019-03-27,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.85,22.51,2019-03-28,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.82,23.03,2019-03-29,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.58,23.12,2019-04-01,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.82,23.52,2019-04-02,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.94,22.98,2019-04-03,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.23,22.87,2019-04-04,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.26,23.21,2019-04-05,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.63,23.07,2019-04-08,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.99,23.41,2019-04-09,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.66,23.06,2019-04-10,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.88,23.78,2019-04-11,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.4,24.22,2019-04-12,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.08,24.38,2019-04-15,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.91,24.16,2019-04-16,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.29,25.04,2019-04-17,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.57,25.21,2019-04-18,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.46,25.44,2019-04-22,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.83,25.56,2019-04-23,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.73,25.7,2019-04-24,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.54,25.59,2019-04-25,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,30.32,28.64,2019-04-26,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,29.72,30.2,2019-04-29,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,27.43,29.79,2019-04-30,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.04,27.4,2019-05-01,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.61,26.04,2019-05-02,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.58,26.61,2019-05-03,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.74,26.09,2019-05-06,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.42,26.45,2019-05-07,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.47,26.28,2019-05-08,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.2,25.28,2019-05-09,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.84,25.2,2019-05-10,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.06,24.37,2019-05-13,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.0,23.08,2019-05-14,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.94,22.69,2019-05-15,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.03,23.1,2019-05-16,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.73,22.79,2019-05-17,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.19,22.52,2019-05-20,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.56,22.32,2019-05-21,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.48,22.35,2019-05-22,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.5,22.16,2019-05-23,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.8,21.7,2019-05-24,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.51,22.71,2019-05-28,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.14,22.15,2019-05-29,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.88,22.2,2019-05-30,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.35,21.41,2019-05-31,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.2,21.51,2019-06-03,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.18,22.46,2019-06-04,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.0,23.17,2019-06-05,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.99,23.01,2019-06-06,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.17,23.02,2019-06-07,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.51,23.35,2019-06-10,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.78,23.72,2019-06-11,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.11,23.82,2019-06-12,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,24.08,24.25,2019-06-13,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.58,24.07,2019-06-14,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.32,23.48,2019-06-17,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.27,23.32,2019-06-18,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.48,23.23,2019-06-19,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.99,23.8,2019-06-20,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.08,22.95,2019-06-21,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.36,23.23,2019-06-24,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.16,22.36,2019-06-25,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.16,22.25,2019-06-26,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.53,21.55,2019-06-27,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.05,22.66,2019-06-28,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.15,23.43,2019-07-01,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,23.3,23.13,2019-07-02,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.73,23.45,2019-07-03,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.52,22.74,2019-07-05,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.32,22.39,2019-07-08,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.05,22.15,2019-07-09,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.06,22.06,2019-07-10,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.12,21.2,2019-07-11,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,20.92,21.23,2019-07-12,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.12,21.0,2019-07-15,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.28,21.15,2019-07-16,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.23,21.31,2019-07-17,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.34,21.18,2019-07-18,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.29,21.25,2019-07-19,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.2,21.27,2019-07-22,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,21.68,21.32,2019-07-23,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.61,21.49,2019-07-24,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,22.5,22.52,2019-07-25,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.23,22.79,2019-07-26,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.55,25.17,2019-07-29,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,27.22,26.14,2019-07-30,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.95,27.27,2019-07-31,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,27.17,27.27,2019-08-01,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.48,26.92,2019-08-02,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.03,25.92,2019-08-05,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.05,26.23,2019-08-06,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.04,25.61,2019-08-07,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.43,26.16,2019-08-08,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.3,26.4,2019-08-09,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,25.94,26.16,2019-08-12,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
29357K10,26.23,26.09,2019-08-13,ENVA,ENOVA INTERNATIONAL INC,6141.0,114.0
