cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
31847R10,44.12,43.88,2019-01-02,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,44.26,43.93,2019-01-03,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,45.35,44.72,2019-01-04,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,45.44,45.3,2019-01-07,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,46.15,45.62,2019-01-08,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,46.46,46.34,2019-01-09,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,47.58,46.46,2019-01-10,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,47.07,47.36,2019-01-11,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,46.73,46.76,2019-01-14,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,46.82,46.88,2019-01-15,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,47.23,47.0,2019-01-16,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,47.44,46.98,2019-01-17,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,47.71,47.68,2019-01-18,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,47.65,47.71,2019-01-22,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,48.2,47.71,2019-01-23,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,48.57,48.42,2019-01-24,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,48.98,49.03,2019-01-25,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,48.91,48.76,2019-01-28,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,48.9,48.79,2019-01-29,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,49.53,49.07,2019-01-30,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,50.08,49.38,2019-01-31,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
31847R10,50.67,50.18,2019-02-01,FAF,FIRST AMERICAN FINL CORP NEW,6361.0,166.0
