cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
33739P86,50.0714,50.0544,2019-01-02,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,-50.215,,2019-01-03,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,49.95,49.95,2019-01-04,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.0,50.05,2019-01-07,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.1242,50.1427,2019-01-08,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,49.9501,50.2,2019-01-09,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.22,50.22,2019-01-10,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.05,50.0531,2019-01-11,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.0696,50.0696,2019-01-14,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,49.9135,50.08,2019-01-15,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.1739,49.9763,2019-01-16,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.0,50.0,2019-01-17,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.0337,50.0905,2019-01-18,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.204,50.204,2019-01-22,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,49.985,49.93,2019-01-23,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,-49.965,,2019-01-24,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,49.9799,49.9799,2019-01-25,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,49.9699,49.9699,2019-01-28,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,49.9382,49.9699,2019-01-29,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,49.995,49.97,2019-01-30,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.1204,50.0557,2019-01-31,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,-50.065,,2019-02-01,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.0962,50.0962,2019-02-04,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.1346,50.1284,2019-02-05,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,-50.09,,2019-02-06,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.215,50.22,2019-02-07,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.3225,50.3001,2019-02-08,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.3179,50.35,2019-02-11,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.3384,50.35,2019-02-12,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.2701,50.37,2019-02-13,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.4361,50.4568,2019-02-14,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.42,50.4201,2019-02-15,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.5002,50.5123,2019-02-19,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
33739P86,50.5072,50.4774,2019-02-20,FCAL,FIRST TR EXCHANGE TRADED FD III,6726.0,80.0
