cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
31618810,47.5237,47.43,2019-01-02,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.74,47.51,2019-01-03,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.6153,47.68,2019-01-04,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.6638,47.7,2019-01-07,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.7498,47.57,2019-01-08,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.76,47.71,2019-01-09,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.87,47.77,2019-01-10,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.8887,47.96,2019-01-11,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.8148,47.8,2019-01-14,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.81,47.8294,2019-01-15,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.8496,47.81,2019-01-16,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.8968,47.84,2019-01-17,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.96,47.97,2019-01-18,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,47.96,47.97,2019-01-22,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.1228,48.21,2019-01-23,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.375,48.2683,2019-01-24,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.4,48.37,2019-01-25,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.375,48.31,2019-01-28,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.3256,48.29,2019-01-29,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.4908,48.37,2019-01-30,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.67,48.63,2019-01-31,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.72,48.77,2019-02-01,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.62,48.7,2019-02-04,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.65,48.6043,2019-02-05,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.77,48.65,2019-02-06,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.7876,48.91,2019-02-07,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.8027,48.8057,2019-02-08,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.66,48.81,2019-02-11,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.86,48.72,2019-02-12,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.7828,48.85,2019-02-13,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.8431,48.92,2019-02-14,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,48.985,48.8366,2019-02-15,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,49.15,49.11,2019-02-19,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,49.152,49.25,2019-02-20,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,49.01,49.0,2019-02-21,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,49.11,49.0,2019-02-22,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,49.1203,49.14,2019-02-25,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
31618810,49.0387,49.1,2019-02-26,FCOR,FIDELITY MERRIMACK STREET TRUST,6726.0,114.0
