cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
33737J22,31.7997,31.7997,2019-01-02,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,31.38,31.5261,2019-01-03,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,32.43,32.16,2019-01-04,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,32.8736,32.81,2019-01-07,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,-33.345,,2019-01-08,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,33.74,33.74,2019-01-09,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,34.11,33.69,2019-01-10,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,34.1106,33.98,2019-01-11,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,33.8916,33.96,2019-01-14,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,34.11,33.89,2019-01-15,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,34.047,34.04,2019-01-16,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,34.25,34.25,2019-01-17,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,34.7809,34.7727,2019-01-18,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,-34.525,,2019-01-22,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,34.72,34.749,2019-01-23,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,34.7971,34.6836,2019-01-24,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.265,35.14,2019-01-25,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,34.9451,35.03,2019-01-28,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.48,35.48,2019-01-29,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.54,35.54,2019-01-30,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.67,35.66,2019-01-31,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,-35.83,,2019-02-01,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.775,35.73,2019-02-04,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,36.0212,35.91,2019-02-05,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,36.0,36.0,2019-02-06,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,-35.815,,2019-02-07,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.5,35.43,2019-02-08,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.31,35.6199,2019-02-11,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.41,35.53,2019-02-12,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.73,35.78,2019-02-13,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.48,35.48,2019-02-14,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,35.733,35.733,2019-02-15,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,36.38,36.09,2019-02-19,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,36.5549,36.5549,2019-02-20,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
33737J22,36.5893,36.63,2019-02-21,FKU,FIRST TR EXCH TRD ALPHADEX FD II,6726.0,139.0
