cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
35473P82,21.22,21.84,2019-01-02,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,21.18,21.14,2019-01-03,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,21.65,21.61,2019-01-04,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,21.91,21.76,2019-01-07,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,22.1,22.09,2019-01-08,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,22.48,22.31,2019-01-09,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,22.5804,22.58,2019-01-10,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,22.515,22.54,2019-01-11,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,22.6218,22.6101,2019-01-14,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,22.765,22.765,2019-01-15,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,22.86,25.03,2019-01-16,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.0105,23.11,2019-01-17,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.1969,23.223,2019-01-18,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,22.9128,22.86,2019-01-22,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,22.935,23.0,2019-01-23,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.045,22.99,2019-01-24,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.35,23.32,2019-01-25,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.2815,23.13,2019-01-28,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.445,23.445,2019-01-29,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.6543,23.56,2019-01-30,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.73,23.78,2019-01-31,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.77,23.76,2019-02-01,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.8406,23.85,2019-02-04,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.9129,23.93,2019-02-05,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.91,23.8711,2019-02-06,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.6588,23.71,2019-02-07,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.5471,23.5471,2019-02-08,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.41,23.5,2019-02-11,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.63,23.3,2019-02-12,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.5865,23.57,2019-02-13,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.666,23.56,2019-02-14,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,23.9303,23.9303,2019-02-15,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,24.0864,24.0864,2019-02-19,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P82,24.3473,24.3726,2019-02-20,FLCA,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
