cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
35473P61,-24.23,,2019-01-02,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.3,,2019-01-03,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.385,,2019-01-04,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.45,,2019-01-07,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.39,,2019-01-08,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.495,,2019-01-09,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.53,24.5,2019-01-10,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.47,,2019-01-11,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.54,,2019-01-14,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.525,,2019-01-15,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.495,24.54,2019-01-16,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.47,,2019-01-17,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.44,,2019-01-18,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.33,,2019-01-22,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.42,,2019-01-23,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.45,,2019-01-24,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.545,24.49,2019-01-25,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.62,,2019-01-28,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.615,,2019-01-29,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.75,,2019-01-30,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.8,,2019-01-31,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.72,,2019-02-01,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.675,,2019-02-04,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.695,,2019-02-05,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.6,,2019-02-06,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.57,,2019-02-07,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.55,,2019-02-08,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.42,,2019-02-11,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.475,,2019-02-12,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.38,,2019-02-13,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.365,,2019-02-14,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.485,,2019-02-15,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.585,,2019-02-19,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.59,,2019-02-20,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.515,,2019-02-21,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.58,24.6007,2019-02-22,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.615,,2019-02-25,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.725,24.725,2019-02-26,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.71,,2019-02-27,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.54,24.58,2019-02-28,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.43,,2019-03-01,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.415,,2019-03-04,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.475,,2019-03-05,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.445,,2019-03-06,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.325,,2019-03-07,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.365,,2019-03-08,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.435,,2019-03-11,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.545,,2019-03-12,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.56,,2019-03-13,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.54,,2019-03-14,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.55,,2019-03-15,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.6,,2019-03-18,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.64,,2019-03-19,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.79,24.6648,2019-03-20,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.76,,2019-03-21,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.715,,2019-03-22,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.78,,2019-03-25,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.7303,24.78,2019-03-26,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.69,,2019-03-27,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.69,,2019-03-28,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.59,,2019-03-29,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.575,,2019-04-01,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.565,,2019-04-02,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.61,,2019-04-03,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.615,,2019-04-04,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.595,,2019-04-05,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.63,,2019-04-08,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.7,,2019-04-09,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.735,,2019-04-10,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.735,,2019-04-11,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.72,,2019-04-12,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.665,24.6848,2019-04-15,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.67,,2019-04-16,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.675,,2019-04-17,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.635,,2019-04-18,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.615,24.615,2019-04-22,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.59,,2019-04-23,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.52,,2019-04-24,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.475,,2019-04-25,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.53,,2019-04-26,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.525,,2019-04-29,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.625,,2019-04-30,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.59,,2019-05-01,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.475,,2019-05-02,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.59,,2019-05-03,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.595,,2019-05-06,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.65,,2019-05-07,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.655,,2019-05-08,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.68,,2019-05-09,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.695,,2019-05-10,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.695,,2019-05-13,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.665,24.665,2019-05-14,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.7,,2019-05-15,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.675,,2019-05-16,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.635,,2019-05-17,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.615,24.6308,2019-05-20,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.585,,2019-05-21,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.58,24.61,2019-05-22,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-24.69,,2019-05-23,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.835,24.87,2019-05-24,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.785,24.83,2019-05-28,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.73,24.79,2019-05-29,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.745,24.76,2019-05-30,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,24.86,24.84,2019-05-31,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,25.06,25.1,2019-06-03,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,25.145,25.145,2019-06-04,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-25.115,,2019-06-05,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,25.15,25.15,2019-06-06,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,25.28,25.28,2019-06-07,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,25.23,25.19,2019-06-10,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,25.275,25.285,2019-06-11,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-25.26,,2019-06-12,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-25.235,,2019-06-13,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,25.19,25.28,2019-06-14,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,25.135,25.17,2019-06-17,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
35473P61,-25.27,,2019-06-18,FLIA,FRANKLIN TEMPLETON E T F TRUST,6726.0,71.0
