cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
35473P74,22.5928,22.48,2019-01-02,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,22.5005,22.5801,2019-01-03,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.2205,22.79,2019-01-04,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.3424,23.29,2019-01-07,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.4164,23.51,2019-01-08,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.5239,23.57,2019-01-09,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.684,23.57,2019-01-10,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.3683,23.38,2019-01-11,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.3142,23.36,2019-01-14,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.6,23.67,2019-01-15,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.6985,23.71,2019-01-16,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.6691,23.55,2019-01-17,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.0038,23.93,2019-01-18,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.58,23.6901,2019-01-22,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.5016,23.49,2019-01-23,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.6513,23.6264,2019-01-24,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.83,23.89,2019-01-25,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.688,23.63,2019-01-28,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.7345,23.83,2019-01-29,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.01,23.8,2019-01-30,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.0276,24.0,2019-01-31,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.9411,23.93,2019-02-01,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.0099,23.96,2019-02-04,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.13,24.11,2019-02-05,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.9013,23.99,2019-02-06,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.5373,23.73,2019-02-07,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.35,23.27,2019-02-08,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.3645,23.36,2019-02-11,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.74,23.77,2019-02-12,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.91,23.9,2019-02-13,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.8399,23.8299,2019-02-14,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.18,24.03,2019-02-15,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.212,24.14,2019-02-19,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.251,24.26,2019-02-20,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.1912,24.21,2019-02-21,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.2527,24.2798,2019-02-22,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.3632,24.43,2019-02-25,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.4784,24.44,2019-02-26,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.35,24.34,2019-02-27,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.05,24.2,2019-02-28,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.19,24.14,2019-03-01,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.11,24.22,2019-03-04,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.09,24.1,2019-03-05,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.98,24.03,2019-03-06,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.6682,23.83,2019-03-07,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.6,23.44,2019-03-08,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.9,23.75,2019-03-11,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.92,23.97,2019-03-12,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.04,23.92,2019-03-13,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,23.74,23.71,2019-03-14,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.03,23.97,2019-03-15,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.12,24.08,2019-03-18,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.11,24.17,2019-03-19,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.16,24.05,2019-03-20,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.28,24.15,2019-03-21,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.02,24.14,2019-03-22,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.02,23.88,2019-03-25,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.29,24.44,2019-03-26,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.26,24.4,2019-03-27,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.25,24.19,2019-03-28,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.2397,24.2492,2019-03-29,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.5824,24.46,2019-04-01,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.38,24.42,2019-04-02,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.5,24.57,2019-04-03,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.47,24.47,2019-04-04,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.51,24.48,2019-04-05,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.46,24.46,2019-04-08,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.31,24.32,2019-04-09,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.32,24.3,2019-04-10,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.25,24.26,2019-04-11,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.38,24.38,2019-04-12,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.38,24.409,2019-04-15,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.48,24.5384,2019-04-16,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.51,24.53,2019-04-17,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.45,24.54,2019-04-18,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
35473P74,24.43,24.41,2019-04-22,FLJP,FRANKLIN TEMPLETON E T F TRUST,6726.0,76.0
