cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
33734X85,30.15,30.17,2019-01-02,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,29.99,29.96,2019-01-03,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.013,30.42,2019-01-04,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.41,31.35,2019-01-07,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.455,31.6988,2019-01-08,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.98,31.77,2019-01-09,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.85,31.98,2019-01-10,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.71,31.82,2019-01-11,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.7,31.7,2019-01-14,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.7721,31.855,2019-01-15,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.9601,31.98,2019-01-16,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,-32.155,,2019-01-17,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,32.34,32.45,2019-01-18,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,31.9426,32.11,2019-01-22,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,32.3306,32.5678,2019-01-23,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,32.7377,32.7377,2019-01-24,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.17,33.23,2019-01-25,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,32.7796,32.71,2019-01-28,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,32.68,32.84,2019-01-29,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,32.8,32.82,2019-01-30,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.3081,33.3539,2019-01-31,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.31,33.45,2019-02-01,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.3508,33.49,2019-02-04,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.9915,33.85,2019-02-05,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.6501,33.85,2019-02-06,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,32.9301,33.15,2019-02-07,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.0401,33.01,2019-02-08,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.0901,33.28,2019-02-11,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.5,33.52,2019-02-12,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.9435,33.98,2019-02-13,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.7873,33.77,2019-02-14,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.752,33.752,2019-02-15,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.2258,34.09,2019-02-19,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.3372,34.52,2019-02-20,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.1764,34.46,2019-02-21,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.4973,34.34,2019-02-22,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.7395,34.9,2019-02-25,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.8068,34.8,2019-02-26,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.77,34.77,2019-02-27,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.6646,34.71,2019-02-28,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.88,35.03,2019-03-01,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.75,34.99,2019-03-04,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.0551,35.21,2019-03-05,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,-34.905,,2019-03-06,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.3847,34.72,2019-03-07,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.9455,33.97,2019-03-08,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.6687,34.63,2019-03-11,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.03,35.03,2019-03-12,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.96,35.05,2019-03-13,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.6301,34.84,2019-03-14,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.74,34.94,2019-03-15,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.8,34.77,2019-03-18,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.0173,35.45,2019-03-19,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.0,34.9899,2019-03-20,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.9715,34.94,2019-03-21,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.86,34.86,2019-03-22,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.2201,34.36,2019-03-25,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.4302,34.4,2019-03-26,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.4869,34.4574,2019-03-27,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.3655,34.4086,2019-03-28,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.7505,34.79,2019-03-29,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.2899,35.24,2019-04-01,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.319,35.46,2019-04-02,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.7,35.7272,2019-04-03,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.1699,35.48,2019-04-04,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.3179,35.37,2019-04-05,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.29,35.47,2019-04-08,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.4151,35.57,2019-04-09,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.39,35.43,2019-04-10,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.065,35.0384,2019-04-11,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.4823,35.4274,2019-04-12,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.4199,35.66,2019-04-15,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.4321,35.72,2019-04-16,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.3,35.24,2019-04-17,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.05,35.07,2019-04-18,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.99,34.82,2019-04-22,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.3617,35.08,2019-04-23,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.05,35.17,2019-04-24,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.73,34.84,2019-04-25,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.95,34.81,2019-04-26,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.1299,34.94,2019-04-29,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.2499,35.2499,2019-04-30,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.395,35.38,2019-05-01,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.4676,35.14,2019-05-02,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.6865,35.6864,2019-05-03,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.9863,34.56,2019-05-06,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.335,34.85,2019-05-07,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.06,34.7419,2019-05-08,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.85,34.54,2019-05-09,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.099,35.099,2019-05-10,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.0027,34.01,2019-05-13,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.3734,34.41,2019-05-14,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.7206,34.42,2019-05-15,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.19,34.99,2019-05-16,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.736,34.75,2019-05-17,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,33.9614,34.25,2019-05-20,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.4,34.28,2019-05-21,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.4,34.3999,2019-05-22,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.048,33.97,2019-05-23,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.4598,34.39,2019-05-24,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.7686,34.82,2019-05-28,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.37,34.46,2019-05-29,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.2946,34.3371,2019-05-30,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.14,34.14,2019-05-31,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.03,34.45,2019-06-03,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.21,34.35,2019-06-04,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.54,34.56,2019-06-05,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.58,34.6,2019-06-06,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,34.97,35.05,2019-06-07,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.4899,35.25,2019-06-10,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.5097,35.605,2019-06-11,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.43,35.33,2019-06-12,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.6687,35.7082,2019-06-13,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.2017,35.43,2019-06-14,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.25,35.21,2019-06-17,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.8715,35.6982,2019-06-18,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,36.05,35.83,2019-06-19,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,36.45,36.66,2019-06-20,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,36.4534,36.39,2019-06-21,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,36.2615,36.66,2019-06-24,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.7374,36.45,2019-06-25,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.9774,36.1,2019-06-26,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,35.8432,35.9599,2019-06-27,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,36.2199,36.42,2019-06-28,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,36.4615,36.78,2019-07-01,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,36.849,36.83,2019-07-02,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,37.4,37.21,2019-07-03,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,36.91,36.59,2019-07-05,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,37.3891,36.95,2019-07-08,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,37.63,37.21,2019-07-09,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,37.6895,37.78,2019-07-10,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,37.57,37.61,2019-07-11,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,37.55,37.57,2019-07-12,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,37.3,37.38,2019-07-15,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,37.3622,37.56,2019-07-16,FPXI,FIRST TRUST E T F II,6726.0,281.0
33734X85,37.3501,37.36,2019-07-17,FPXI,FIRST TRUST E T F II,6726.0,281.0
