cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
L4438510,54.47,55.26,2019-01-02,GLOB,GLOBANT S A,7371.0,115.0
L4438510,52.1,53.72,2019-01-03,GLOB,GLOBANT S A,7371.0,115.0
L4438510,53.83,52.12,2019-01-04,GLOB,GLOBANT S A,7371.0,115.0
L4438510,57.25,54.33,2019-01-07,GLOB,GLOBANT S A,7371.0,115.0
L4438510,57.39,57.82,2019-01-08,GLOB,GLOBANT S A,7371.0,115.0
L4438510,60.83,57.3,2019-01-09,GLOB,GLOBANT S A,7371.0,115.0
L4438510,61.06,60.56,2019-01-10,GLOB,GLOBANT S A,7371.0,115.0
L4438510,60.25,60.99,2019-01-11,GLOB,GLOBANT S A,7371.0,115.0
L4438510,61.4,59.62,2019-01-14,GLOB,GLOBANT S A,7371.0,115.0
L4438510,63.54,61.52,2019-01-15,GLOB,GLOBANT S A,7371.0,115.0
L4438510,64.85,63.89,2019-01-16,GLOB,GLOBANT S A,7371.0,115.0
L4438510,64.12,64.85,2019-01-17,GLOB,GLOBANT S A,7371.0,115.0
L4438510,65.0,64.18,2019-01-18,GLOB,GLOBANT S A,7371.0,115.0
L4438510,64.0,64.61,2019-01-22,GLOB,GLOBANT S A,7371.0,115.0
L4438510,63.24,64.42,2019-01-23,GLOB,GLOBANT S A,7371.0,115.0
L4438510,64.67,63.56,2019-01-24,GLOB,GLOBANT S A,7371.0,115.0
L4438510,68.04,65.61,2019-01-25,GLOB,GLOBANT S A,7371.0,115.0
L4438510,68.29,69.0,2019-01-28,GLOB,GLOBANT S A,7371.0,115.0
L4438510,68.85,68.78,2019-01-29,GLOB,GLOBANT S A,7371.0,115.0
L4438510,68.03,69.69,2019-01-30,GLOB,GLOBANT S A,7371.0,115.0
L4438510,67.6,67.7,2019-01-31,GLOB,GLOBANT S A,7371.0,115.0
L4438510,67.52,67.66,2019-02-01,GLOB,GLOBANT S A,7371.0,115.0
L4438510,68.43,67.82,2019-02-04,GLOB,GLOBANT S A,7371.0,115.0
L4438510,67.64,68.5,2019-02-05,GLOB,GLOBANT S A,7371.0,115.0
L4438510,67.24,67.61,2019-02-06,GLOB,GLOBANT S A,7371.0,115.0
L4438510,66.5,66.6,2019-02-07,GLOB,GLOBANT S A,7371.0,115.0
L4438510,66.73,66.2,2019-02-08,GLOB,GLOBANT S A,7371.0,115.0
L4438510,67.51,67.05,2019-02-11,GLOB,GLOBANT S A,7371.0,115.0
L4438510,68.0,68.2,2019-02-12,GLOB,GLOBANT S A,7371.0,115.0
L4438510,68.4,68.8,2019-02-13,GLOB,GLOBANT S A,7371.0,115.0
L4438510,68.26,68.0,2019-02-14,GLOB,GLOBANT S A,7371.0,115.0
L4438510,70.78,73.0,2019-02-15,GLOB,GLOBANT S A,7371.0,115.0
L4438510,71.23,70.81,2019-02-19,GLOB,GLOBANT S A,7371.0,115.0
L4438510,69.42,71.0,2019-02-20,GLOB,GLOBANT S A,7371.0,115.0
L4438510,69.75,68.93,2019-02-21,GLOB,GLOBANT S A,7371.0,115.0
L4438510,71.99,70.27,2019-02-22,GLOB,GLOBANT S A,7371.0,115.0
L4438510,71.87,72.49,2019-02-25,GLOB,GLOBANT S A,7371.0,115.0
L4438510,70.18,72.0,2019-02-26,GLOB,GLOBANT S A,7371.0,115.0
