cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
26922A71,11.48,11.5,2019-01-02,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.67,11.48,2019-01-03,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.66,11.4,2019-01-04,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.6283,11.72,2019-01-07,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.65,11.482,2019-01-08,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.8622,11.68,2019-01-09,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.71,11.8015,2019-01-10,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.61,11.86,2019-01-11,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.7,11.7,2019-01-14,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.535,11.65,2019-01-15,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.5753,11.51,2019-01-16,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.4665,11.44,2019-01-17,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.3,11.5,2019-01-18,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.39,11.24,2019-01-22,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.49,11.32,2019-01-23,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.4734,11.55,2019-01-24,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.77,11.8017,2019-01-25,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,11.92,11.9128,2019-01-28,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.3079,12.05,2019-01-29,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.45,12.2,2019-01-30,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.65,12.637,2019-01-31,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.64,12.59,2019-02-01,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.57,12.61,2019-02-04,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.6,12.52,2019-02-05,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.5182,12.58,2019-02-06,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.39,12.57,2019-02-07,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.5,12.51,2019-02-08,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.52,12.54,2019-02-11,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.5,12.65,2019-02-12,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.3375,12.565,2019-02-13,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.3729,12.27,2019-02-14,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.51,12.5263,2019-02-15,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.88,12.77,2019-02-19,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.0774,12.95,2019-02-20,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.95,13.0541,2019-02-21,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.1,13.095,2019-02-22,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.0976,13.014,2019-02-25,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.085,13.005,2019-02-26,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.98,13.062,2019-02-27,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.85,12.9263,2019-02-28,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.5398,12.8214,2019-03-01,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.5003,12.56,2019-03-04,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.4851,12.52,2019-03-05,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.45,12.45,2019-03-06,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.405,12.361,2019-03-07,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.7895,12.67,2019-03-08,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.7473,12.8,2019-03-11,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.98,12.94,2019-03-12,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.08,12.99,2019-03-13,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.8,12.96,2019-03-14,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.96,12.78,2019-03-15,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.85,13.0,2019-03-18,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.92,12.99,2019-03-19,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.0717,13.04,2019-03-20,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.16,13.1401,2019-03-21,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.3115,13.21,2019-03-22,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.59,13.44,2019-03-25,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.51,13.51,2019-03-26,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.44,13.4295,2019-03-27,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.9,13.32,2019-03-28,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.88,12.89,2019-03-29,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.638,13.03,2019-04-01,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.64,12.6788,2019-04-02,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.7542,12.61,2019-04-03,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.76,12.61,2019-04-04,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.82,12.82,2019-04-05,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.0,13.06,2019-04-08,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,13.05,13.01,2019-04-09,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.85,13.06,2019-04-10,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.8,12.75,2019-04-11,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
26922A71,12.6475,12.75,2019-04-12,GOAU,E T F SERIES SOLUTIONS,6726.0,81.0
