cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
38143040,29.0037,28.695,2019-01-02,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,28.8651,28.85,2019-01-03,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,29.8641,29.8064,2019-01-04,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,29.9405,29.85,2019-01-07,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.0447,30.033,2019-01-08,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.1866,30.2128,2019-01-09,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3665,30.11,2019-01-10,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.0,30.0,2019-01-11,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,29.8475,29.9173,2019-01-14,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.2024,30.2472,2019-01-15,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3342,30.31,2019-01-16,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3094,30.17,2019-01-17,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.77,30.57,2019-01-18,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.1144,30.2729,2019-01-22,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.0482,30.236,2019-01-23,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.2529,30.205,2019-01-24,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.4789,30.5671,2019-01-25,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.2815,30.2001,2019-01-28,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3866,30.41,2019-01-29,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.727,30.4571,2019-01-30,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.7101,30.79,2019-01-31,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.597,30.66,2019-02-01,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.6961,30.61,2019-02-04,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.7918,30.78,2019-02-05,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.52,30.5768,2019-02-06,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.0427,30.21,2019-02-07,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,29.7582,29.66,2019-02-08,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,29.8259,29.8155,2019-02-11,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.44,30.3,2019-02-12,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.404,30.404,2019-02-13,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3585,30.3585,2019-02-14,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.7954,30.63,2019-02-15,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.8501,30.77,2019-02-19,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.9,30.86,2019-02-20,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.8195,30.82,2019-02-21,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.888,30.92,2019-02-22,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0075,31.09,2019-02-25,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.1826,31.11,2019-02-26,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0175,30.98,2019-02-27,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.7187,30.82,2019-02-28,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.8305,30.82,2019-03-01,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.6794,30.8,2019-03-04,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.7518,30.7,2019-03-05,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.5821,30.62,2019-03-06,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.2218,30.24,2019-03-07,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.1742,29.99,2019-03-08,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.5431,30.4402,2019-03-11,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.5933,30.66,2019-03-12,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.7367,30.6,2019-03-13,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3935,30.3716,2019-03-14,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.731,30.65,2019-03-15,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.8394,30.71,2019-03-18,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.7875,30.8629,2019-03-19,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.8164,30.75,2019-03-20,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.034,30.68,2019-03-21,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.6575,30.6575,2019-03-22,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.7073,30.59,2019-03-25,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0983,31.1548,2019-03-26,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.9487,31.14,2019-03-27,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.9921,30.9921,2019-03-28,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.9705,31.015,2019-03-29,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.333,31.18,2019-04-01,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.04,31.01,2019-04-02,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.1368,31.2036,2019-04-03,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.092,31.098,2019-04-04,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0785,31.06,2019-04-05,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0518,31.0518,2019-04-08,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.8707,30.88,2019-04-09,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.8454,30.9171,2019-04-10,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.778,30.818,2019-04-11,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.9189,30.9271,2019-04-12,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.9015,30.9371,2019-04-15,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0242,31.09,2019-04-16,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.99,31.0015,2019-04-17,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.953,30.953,2019-04-18,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.845,30.837,2019-04-22,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0571,30.9271,2019-04-23,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.6757,30.73,2019-04-24,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.763,30.795,2019-04-25,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0354,30.9495,2019-04-26,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.1597,31.05,2019-04-29,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0606,31.03,2019-04-30,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.9184,31.11,2019-05-01,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.9326,31.01,2019-05-02,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.342,31.16,2019-05-03,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,31.0313,30.76,2019-05-06,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.56,30.8,2019-05-07,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3698,30.32,2019-05-08,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.1836,29.9,2019-05-09,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3391,30.002,2019-05-10,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,29.7224,29.86,2019-05-13,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.1645,30.13,2019-05-14,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.2019,29.93,2019-05-15,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3876,30.45,2019-05-16,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.3337,30.4073,2019-05-17,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.172,30.18,2019-05-20,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.35,30.28,2019-05-21,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,30.1141,30.13,2019-05-22,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
38143040,29.9507,29.98,2019-05-23,GSJY,GOLDMAN SACHS E T F TRUST,6726.0,97.0
