cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
43785V10,21.4,20.9,2019-01-02,HMST,HOMESTREET INC,9999.0,113.0
43785V10,21.66,21.26,2019-01-03,HMST,HOMESTREET INC,9999.0,113.0
43785V10,22.4,21.87,2019-01-04,HMST,HOMESTREET INC,9999.0,113.0
43785V10,23.14,22.25,2019-01-07,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.08,23.22,2019-01-08,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.88,24.16,2019-01-09,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.62,24.73,2019-01-10,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.55,25.49,2019-01-11,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.13,25.38,2019-01-14,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.47,25.14,2019-01-15,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.81,25.5,2019-01-16,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.01,25.73,2019-01-17,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.0,26.08,2019-01-18,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.64,25.5,2019-01-22,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.53,25.58,2019-01-23,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.43,24.36,2019-01-24,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.32,24.52,2019-01-25,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.55,24.15,2019-01-28,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.58,24.54,2019-01-29,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.53,24.68,2019-01-30,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.47,24.44,2019-01-31,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.24,24.57,2019-02-01,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.22,25.23,2019-02-04,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.42,25.25,2019-02-05,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.21,25.41,2019-02-06,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.35,25.2,2019-02-07,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.61,25.25,2019-02-08,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.32,25.7,2019-02-11,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.19,26.45,2019-02-12,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.76,26.32,2019-02-13,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.91,26.57,2019-02-14,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.5,27.18,2019-02-15,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.91,27.51,2019-02-19,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.17,28.0,2019-02-20,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.05,28.25,2019-02-21,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.19,27.98,2019-02-22,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.06,28.32,2019-02-25,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.25,28.05,2019-02-26,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.77,27.25,2019-02-27,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.9,27.78,2019-02-28,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.08,28.04,2019-03-01,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.98,28.06,2019-03-04,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.47,27.86,2019-03-05,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.09,27.56,2019-03-06,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.22,27.0,2019-03-07,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.7,26.11,2019-03-08,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.91,26.73,2019-03-11,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.25,27.0,2019-03-12,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.23,27.29,2019-03-13,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.25,27.15,2019-03-14,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.26,27.19,2019-03-15,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.42,27.27,2019-03-18,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.73,27.54,2019-03-19,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.09,26.74,2019-03-20,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.16,26.0,2019-03-21,HMST,HOMESTREET INC,9999.0,113.0
43785V10,24.71,26.03,2019-03-22,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.29,24.72,2019-03-25,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.92,25.4,2019-03-26,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.6,25.75,2019-03-27,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.46,25.55,2019-03-28,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.35,26.59,2019-03-29,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.47,26.48,2019-04-01,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.33,26.45,2019-04-02,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.41,26.53,2019-04-03,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.15,26.41,2019-04-04,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.66,28.9,2019-04-05,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.09,29.01,2019-04-08,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.34,28.0,2019-04-09,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.5,27.35,2019-04-10,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.04,27.61,2019-04-11,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.34,28.23,2019-04-12,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.95,28.35,2019-04-15,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.24,28.06,2019-04-16,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.28,28.24,2019-04-17,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.84,28.21,2019-04-18,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.59,27.83,2019-04-22,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.07,27.61,2019-04-23,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.1,28.0,2019-04-24,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.14,27.96,2019-04-25,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.69,28.15,2019-04-26,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.91,28.74,2019-04-29,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.14,28.84,2019-04-30,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.45,28.39,2019-05-01,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.25,28.43,2019-05-02,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.95,28.37,2019-05-03,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.83,28.37,2019-05-06,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.5,28.61,2019-05-07,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.5,28.67,2019-05-08,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.27,28.23,2019-05-09,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.76,28.27,2019-05-10,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.11,28.45,2019-05-13,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.81,28.03,2019-05-14,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.68,28.51,2019-05-15,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.06,27.77,2019-05-16,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.04,27.78,2019-05-17,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.64,28.02,2019-05-20,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.93,28.8,2019-05-21,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.85,28.88,2019-05-22,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.46,28.57,2019-05-23,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.82,28.56,2019-05-24,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.49,28.83,2019-05-28,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.64,28.29,2019-05-29,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.44,28.66,2019-05-30,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.45,28.11,2019-05-31,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.3,28.34,2019-06-03,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.64,28.61,2019-06-04,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.88,29.71,2019-06-05,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.57,29.69,2019-06-06,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.36,29.5,2019-06-07,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.4,29.68,2019-06-10,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.82,30.52,2019-06-11,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.76,30.92,2019-06-12,HMST,HOMESTREET INC,9999.0,113.0
43785V10,31.14,30.98,2019-06-13,HMST,HOMESTREET INC,9999.0,113.0
43785V10,31.66,31.17,2019-06-14,HMST,HOMESTREET INC,9999.0,113.0
43785V10,31.24,31.76,2019-06-17,HMST,HOMESTREET INC,9999.0,113.0
43785V10,31.02,31.41,2019-06-18,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.73,31.19,2019-06-19,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.53,30.95,2019-06-20,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.42,30.46,2019-06-21,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.97,29.35,2019-06-24,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.06,28.97,2019-06-25,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.6,29.18,2019-06-26,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.08,28.69,2019-06-27,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.64,29.0,2019-06-28,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.74,29.92,2019-07-01,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.87,29.72,2019-07-02,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.15,29.98,2019-07-03,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.29,30.14,2019-07-05,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.01,30.23,2019-07-08,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.19,29.94,2019-07-09,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.43,29.06,2019-07-10,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.25,29.73,2019-07-11,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.3,29.38,2019-07-12,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.4,29.3,2019-07-15,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.34,28.43,2019-07-16,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.03,28.24,2019-07-17,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.79,27.97,2019-07-18,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.79,27.66,2019-07-19,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.73,27.83,2019-07-22,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.94,25.0,2019-07-23,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.55,27.79,2019-07-24,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.44,28.71,2019-07-25,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.92,28.69,2019-07-26,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.47,28.81,2019-07-29,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.18,28.36,2019-07-30,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.02,29.17,2019-07-31,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.04,28.88,2019-08-01,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.91,27.92,2019-08-02,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.37,27.41,2019-08-05,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.36,27.48,2019-08-06,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.28,26.93,2019-08-07,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.52,27.46,2019-08-08,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.12,27.44,2019-08-09,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.04,26.9,2019-08-12,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.02,26.99,2019-08-13,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.82,26.58,2019-08-14,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.25,26.0,2019-08-15,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.12,25.91,2019-08-16,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.89,26.41,2019-08-19,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.07,25.84,2019-08-20,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.78,26.36,2019-08-21,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.53,26.84,2019-08-22,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.2,26.5,2019-08-23,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.62,26.38,2019-08-26,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.45,26.64,2019-08-27,HMST,HOMESTREET INC,9999.0,113.0
43785V10,25.94,25.38,2019-08-28,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.5,26.22,2019-08-29,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.37,26.66,2019-08-30,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.1,26.1,2019-09-03,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.27,26.31,2019-09-04,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.58,26.65,2019-09-05,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.49,26.63,2019-09-06,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.02,26.64,2019-09-09,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.85,27.13,2019-09-10,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.27,27.91,2019-09-11,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.46,28.16,2019-09-12,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.73,28.78,2019-09-13,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.85,28.49,2019-09-16,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.57,28.74,2019-09-17,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.98,28.55,2019-09-18,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.92,28.05,2019-09-19,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.77,27.97,2019-09-20,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.01,27.71,2019-09-23,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.5,28.01,2019-09-24,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.2,27.62,2019-09-25,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.21,28.1,2019-09-26,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.45,27.29,2019-09-27,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.32,27.54,2019-09-30,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.86,27.39,2019-10-01,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.11,26.66,2019-10-02,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.84,26.95,2019-10-03,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.16,26.84,2019-10-04,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.3,26.97,2019-10-07,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.8,27.02,2019-10-08,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.66,27.08,2019-10-09,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.62,26.74,2019-10-10,HMST,HOMESTREET INC,9999.0,113.0
43785V10,26.99,27.06,2019-10-11,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.04,26.89,2019-10-14,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.63,27.13,2019-10-15,HMST,HOMESTREET INC,9999.0,113.0
43785V10,27.54,27.59,2019-10-16,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.0,27.59,2019-10-17,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.33,27.84,2019-10-18,HMST,HOMESTREET INC,9999.0,113.0
43785V10,28.74,28.51,2019-10-21,HMST,HOMESTREET INC,9999.0,113.0
43785V10,29.98,35.44,2019-10-22,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.8,30.0,2019-10-23,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.82,30.97,2019-10-24,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.49,30.83,2019-10-25,HMST,HOMESTREET INC,9999.0,113.0
43785V10,30.45,30.5,2019-10-28,HMST,HOMESTREET INC,9999.0,113.0
