cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
45866F10,75.33,74.49,2019-01-02,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.98,75.09,2019-01-03,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.67,74.84,2019-01-04,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.38,73.32,2019-01-07,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,72.15,73.77,2019-01-08,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,72.44,72.18,2019-01-09,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,72.78,72.3,2019-01-10,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.1,72.43,2019-01-11,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,72.7,72.35,2019-01-14,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.51,72.58,2019-01-15,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.51,74.42,2019-01-16,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.85,74.23,2019-01-17,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.63,75.19,2019-01-18,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.87,75.5,2019-01-22,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.06,76.14,2019-01-23,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.21,75.97,2019-01-24,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.76,75.89,2019-01-25,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.71,75.4,2019-01-28,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.35,75.59,2019-01-29,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.22,75.22,2019-01-30,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.76,75.81,2019-01-31,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.52,77.04,2019-02-01,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.1,77.56,2019-02-04,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.31,77.17,2019-02-05,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.39,77.02,2019-02-06,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.55,76.34,2019-02-07,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.16,75.13,2019-02-08,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.52,76.13,2019-02-11,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.13,75.96,2019-02-12,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.68,76.45,2019-02-13,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.95,76.55,2019-02-14,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.5,75.47,2019-02-15,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.86,75.29,2019-02-19,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.48,74.75,2019-02-20,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.87,74.74,2019-02-21,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.18,75.05,2019-02-22,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.34,75.68,2019-02-25,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.3,75.14,2019-02-26,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.21,75.13,2019-02-27,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.15,76.27,2019-02-28,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.19,77.52,2019-03-01,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.18,77.3,2019-03-04,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,75.38,76.24,2019-03-05,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.89,75.58,2019-03-06,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.65,74.67,2019-03-07,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,72.5,73.0,2019-03-08,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,72.55,72.87,2019-03-11,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.12,72.76,2019-03-12,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.05,73.18,2019-03-13,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.89,73.72,2019-03-14,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.63,73.75,2019-03-15,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.61,74.84,2019-03-18,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.25,75.02,2019-03-19,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.2,74.3,2019-03-20,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.39,72.89,2019-03-21,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,72.76,73.02,2019-03-22,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.78,72.85,2019-03-25,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.99,74.33,2019-03-26,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.86,73.9,2019-03-27,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,74.77,73.97,2019-03-28,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.14,75.26,2019-03-29,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.0,76.61,2019-04-01,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.37,77.15,2019-04-02,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.42,77.83,2019-04-03,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.26,77.39,2019-04-04,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.26,77.34,2019-04-05,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.0,76.96,2019-04-08,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.97,76.82,2019-04-09,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,76.85,76.97,2019-04-10,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.06,77.13,2019-04-11,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,77.28,77.77,2019-04-12,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,78.64,77.4,2019-04-15,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,79.44,78.77,2019-04-16,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,80.16,79.69,2019-04-17,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,79.86,80.09,2019-04-18,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,80.5,79.61,2019-04-22,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,80.53,80.66,2019-04-23,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,80.47,80.48,2019-04-24,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,80.82,80.28,2019-04-25,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,81.19,81.18,2019-04-26,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,81.69,81.18,2019-04-29,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,81.35,81.65,2019-04-30,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
