cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46428756,93.31,94.7,2019-01-02,ICF,ISHARES TRUST,6726.0,286.0
46428756,93.69,93.24,2019-01-03,ICF,ISHARES TRUST,6726.0,286.0
46428756,94.54,93.71,2019-01-04,ICF,ISHARES TRUST,6726.0,286.0
46428756,95.22,94.67,2019-01-07,ICF,ISHARES TRUST,6726.0,286.0
46428756,97.14,95.89,2019-01-08,ICF,ISHARES TRUST,6726.0,286.0
46428756,96.92,97.44,2019-01-09,ICF,ISHARES TRUST,6726.0,286.0
46428756,98.57,96.55,2019-01-10,ICF,ISHARES TRUST,6726.0,286.0
46428756,98.78,98.32,2019-01-11,ICF,ISHARES TRUST,6726.0,286.0
46428756,98.5,98.15,2019-01-14,ICF,ISHARES TRUST,6726.0,286.0
46428756,99.64,98.63,2019-01-15,ICF,ISHARES TRUST,6726.0,286.0
46428756,100.22,99.51,2019-01-16,ICF,ISHARES TRUST,6726.0,286.0
46428756,100.53,100.06,2019-01-17,ICF,ISHARES TRUST,6726.0,286.0
46428756,100.88,100.74,2019-01-18,ICF,ISHARES TRUST,6726.0,286.0
46428756,100.67,100.78,2019-01-22,ICF,ISHARES TRUST,6726.0,286.0
46428756,100.6,100.72,2019-01-23,ICF,ISHARES TRUST,6726.0,286.0
46428756,100.74,100.47,2019-01-24,ICF,ISHARES TRUST,6726.0,286.0
46428756,101.88,101.12,2019-01-25,ICF,ISHARES TRUST,6726.0,286.0
46428756,103.04,101.41,2019-01-28,ICF,ISHARES TRUST,6726.0,286.0
46428756,103.97,103.18,2019-01-29,ICF,ISHARES TRUST,6726.0,286.0
46428756,104.85,104.29,2019-01-30,ICF,ISHARES TRUST,6726.0,286.0
46428756,105.86,104.65,2019-01-31,ICF,ISHARES TRUST,6726.0,286.0
46428756,105.1,105.81,2019-02-01,ICF,ISHARES TRUST,6726.0,286.0
46428756,105.97,105.23,2019-02-04,ICF,ISHARES TRUST,6726.0,286.0
46428756,106.59,106.03,2019-02-05,ICF,ISHARES TRUST,6726.0,286.0
46428756,105.87,106.53,2019-02-06,ICF,ISHARES TRUST,6726.0,286.0
46428756,106.87,105.72,2019-02-07,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.0,106.67,2019-02-08,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.27,107.11,2019-02-11,ICF,ISHARES TRUST,6726.0,286.0
46428756,106.39,107.47,2019-02-12,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.03,106.23,2019-02-13,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.61,107.38,2019-02-14,ICF,ISHARES TRUST,6726.0,286.0
46428756,108.14,107.8,2019-02-15,ICF,ISHARES TRUST,6726.0,286.0
46428756,108.31,107.98,2019-02-19,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.44,108.0,2019-02-20,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.72,106.89,2019-02-21,ICF,ISHARES TRUST,6726.0,286.0
46428756,108.41,107.86,2019-02-22,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.6,108.54,2019-02-25,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.46,107.53,2019-02-26,ICF,ISHARES TRUST,6726.0,286.0
46428756,106.92,107.06,2019-02-27,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.38,106.86,2019-02-28,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.14,107.81,2019-03-01,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.61,107.37,2019-03-04,ICF,ISHARES TRUST,6726.0,286.0
46428756,108.01,107.37,2019-03-05,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.59,107.93,2019-03-06,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.43,107.6,2019-03-07,ICF,ISHARES TRUST,6726.0,286.0
46428756,107.54,107.05,2019-03-08,ICF,ISHARES TRUST,6726.0,286.0
46428756,109.07,107.76,2019-03-11,ICF,ISHARES TRUST,6726.0,286.0
46428756,109.7,109.09,2019-03-12,ICF,ISHARES TRUST,6726.0,286.0
46428756,110.18,109.84,2019-03-13,ICF,ISHARES TRUST,6726.0,286.0
46428756,110.47,110.09,2019-03-14,ICF,ISHARES TRUST,6726.0,286.0
46428756,109.86,110.75,2019-03-15,ICF,ISHARES TRUST,6726.0,286.0
46428756,109.17,109.97,2019-03-18,ICF,ISHARES TRUST,6726.0,286.0
46428756,108.73,109.25,2019-03-19,ICF,ISHARES TRUST,6726.0,286.0
46428756,108.55,108.02,2019-03-20,ICF,ISHARES TRUST,6726.0,286.0
46428756,110.5,108.33,2019-03-21,ICF,ISHARES TRUST,6726.0,286.0
46428756,110.12,110.59,2019-03-22,ICF,ISHARES TRUST,6726.0,286.0
46428756,110.2,110.08,2019-03-25,ICF,ISHARES TRUST,6726.0,286.0
46428756,111.01,110.43,2019-03-26,ICF,ISHARES TRUST,6726.0,286.0
46428756,110.56,111.27,2019-03-27,ICF,ISHARES TRUST,6726.0,286.0
46428756,111.49,110.65,2019-03-28,ICF,ISHARES TRUST,6726.0,286.0
