cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46435G52,49.25,48.8,2019-01-02,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,48.9748,49.0676,2019-01-03,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,50.0866,49.52,2019-01-04,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,50.338,50.1939,2019-01-07,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,50.3701,50.78,2019-01-08,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.2693,51.05,2019-01-09,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.6602,51.24,2019-01-10,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.4293,51.39,2019-01-11,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.2022,51.21,2019-01-14,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.24,51.49,2019-01-15,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.7604,51.6421,2019-01-16,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.62,50.0,2019-01-17,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,52.3048,51.6452,2019-01-18,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.8172,51.63,2019-01-22,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.745,51.84,2019-01-23,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,51.929,51.78,2019-01-24,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,52.64,52.375,2019-01-25,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,52.2623,52.29,2019-01-28,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,52.5901,52.42,2019-01-29,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.12,52.69,2019-01-30,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.1733,52.85,2019-01-31,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.3717,53.42,2019-02-01,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.4416,53.2232,2019-02-04,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.918,53.78,2019-02-05,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.5061,53.82,2019-02-06,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,52.81,52.52,2019-02-07,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,52.53,51.8687,2019-02-08,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,52.4846,52.48,2019-02-11,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.11,52.91,2019-02-12,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.04,53.55,2019-02-13,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,52.9548,53.03,2019-02-14,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.52,53.4,2019-02-15,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.89,53.62,2019-02-19,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.28,54.343,2019-02-20,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.1019,54.68,2019-02-21,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.3171,54.27,2019-02-22,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.8,54.53,2019-02-25,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.7744,54.63,2019-02-26,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.6486,54.79,2019-02-27,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.3385,53.25,2019-02-28,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.5416,54.76,2019-03-01,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.3951,54.54,2019-03-04,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.2792,54.3999,2019-03-05,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.2848,54.58,2019-03-06,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.7703,53.7204,2019-03-07,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.3206,53.43,2019-03-08,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.9608,53.78,2019-03-11,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.0901,54.13,2019-03-12,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.355,54.37,2019-03-13,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.2191,54.25,2019-03-14,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.0454,54.93,2019-03-15,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.083,55.009,2019-03-18,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.2661,55.353,2019-03-19,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.505,54.74,2019-03-20,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.06,54.62,2019-03-21,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.6496,54.38,2019-03-22,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.784,53.56,2019-03-25,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.9502,53.96,2019-03-26,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.0165,54.14,2019-03-27,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,53.8602,53.97,2019-03-28,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.1544,54.0387,2019-03-29,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.9003,54.45,2019-04-01,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.7521,54.71,2019-04-02,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.14,55.05,2019-04-03,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.152,55.0431,2019-04-04,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.2942,55.2583,2019-04-05,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.3667,54.9417,2019-04-08,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,54.87,54.9305,2019-04-09,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.0,55.09,2019-04-10,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.0748,54.94,2019-04-11,IGRO,ISHARES TRUST,6726.0,103.0
46435G52,55.0651,55.2,2019-04-12,IGRO,ISHARES TRUST,6726.0,103.0
