cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
45683710,10.65,10.47,2019-01-02,ING,I N G GROEP N V,6719.0,153.0
45683710,10.69,10.72,2019-01-03,ING,I N G GROEP N V,6719.0,153.0
45683710,11.23,11.05,2019-01-04,ING,I N G GROEP N V,6719.0,153.0
45683710,11.31,11.3,2019-01-07,ING,I N G GROEP N V,6719.0,153.0
45683710,11.42,11.45,2019-01-08,ING,I N G GROEP N V,6719.0,153.0
45683710,11.33,11.39,2019-01-09,ING,I N G GROEP N V,6719.0,153.0
45683710,11.32,11.25,2019-01-10,ING,I N G GROEP N V,6719.0,153.0
45683710,11.31,11.23,2019-01-11,ING,I N G GROEP N V,6719.0,153.0
45683710,11.4,11.27,2019-01-14,ING,I N G GROEP N V,6719.0,153.0
45683710,11.41,11.31,2019-01-15,ING,I N G GROEP N V,6719.0,153.0
45683710,11.74,11.59,2019-01-16,ING,I N G GROEP N V,6719.0,153.0
45683710,11.6,11.61,2019-01-17,ING,I N G GROEP N V,6719.0,153.0
45683710,11.94,11.88,2019-01-18,ING,I N G GROEP N V,6719.0,153.0
45683710,11.77,11.72,2019-01-22,ING,I N G GROEP N V,6719.0,153.0
45683710,11.91,12.01,2019-01-23,ING,I N G GROEP N V,6719.0,153.0
45683710,11.78,11.79,2019-01-24,ING,I N G GROEP N V,6719.0,153.0
45683710,12.14,12.06,2019-01-25,ING,I N G GROEP N V,6719.0,153.0
45683710,12.13,12.09,2019-01-28,ING,I N G GROEP N V,6719.0,153.0
45683710,12.03,12.05,2019-01-29,ING,I N G GROEP N V,6719.0,153.0
45683710,12.13,12.07,2019-01-30,ING,I N G GROEP N V,6719.0,153.0
45683710,11.87,11.82,2019-01-31,ING,I N G GROEP N V,6719.0,153.0
45683710,11.83,11.73,2019-02-01,ING,I N G GROEP N V,6719.0,153.0
45683710,11.75,11.64,2019-02-04,ING,I N G GROEP N V,6719.0,153.0
45683710,11.94,11.88,2019-02-05,ING,I N G GROEP N V,6719.0,153.0
45683710,12.56,12.56,2019-02-06,ING,I N G GROEP N V,6719.0,153.0
45683710,12.36,12.46,2019-02-07,ING,I N G GROEP N V,6719.0,153.0
45683710,12.2,12.22,2019-02-08,ING,I N G GROEP N V,6719.0,153.0
45683710,12.26,12.3,2019-02-11,ING,I N G GROEP N V,6719.0,153.0
45683710,12.36,12.32,2019-02-12,ING,I N G GROEP N V,6719.0,153.0
45683710,12.32,12.39,2019-02-13,ING,I N G GROEP N V,6719.0,153.0
45683710,12.19,12.16,2019-02-14,ING,I N G GROEP N V,6719.0,153.0
