cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
45687V10,21.0,20.02,2019-01-02,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,20.58,20.81,2019-01-03,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,20.94,21.0,2019-01-04,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,21.61,21.14,2019-01-07,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,21.86,21.94,2019-01-08,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,22.38,22.15,2019-01-09,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,22.49,22.1,2019-01-10,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,22.71,22.28,2019-01-11,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,22.0,22.49,2019-01-14,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,21.92,22.1,2019-01-15,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,21.84,21.85,2019-01-16,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,22.23,21.7,2019-01-17,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,23.22,22.42,2019-01-18,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,22.78,22.65,2019-01-22,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,22.43,22.9,2019-01-23,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,22.65,22.48,2019-01-24,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.18,22.89,2019-01-25,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,23.97,23.83,2019-01-28,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.44,24.19,2019-01-29,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.63,24.84,2019-01-30,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.67,24.68,2019-01-31,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.79,24.79,2019-02-01,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.9,24.72,2019-02-04,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,25.04,24.9,2019-02-05,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,25.15,24.95,2019-02-06,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.92,24.89,2019-02-07,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.37,24.74,2019-02-08,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.43,24.36,2019-02-11,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,24.63,24.77,2019-02-12,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,25.3,24.87,2019-02-13,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,25.36,25.18,2019-02-14,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.11,25.61,2019-02-15,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,25.92,25.95,2019-02-19,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.57,26.69,2019-02-20,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,27.05,26.65,2019-02-21,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.74,27.08,2019-02-22,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,27.06,26.84,2019-02-25,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.66,26.95,2019-02-26,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.65,26.66,2019-02-27,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.85,26.61,2019-02-28,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,27.34,26.96,2019-03-01,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.98,27.46,2019-03-04,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.94,26.99,2019-03-05,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.31,26.82,2019-03-06,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.09,26.25,2019-03-07,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,26.2,25.54,2019-03-08,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,27.12,26.26,2019-03-11,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,27.06,27.15,2019-03-12,IR,INGERSOLL RAND INC,3564.0,83.0
45687V10,27.72,27.3,2019-03-13,IR,INGERSOLL RAND INC,3564.0,83.0
