cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46434V26,25.87,25.66,2019-01-02,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,25.69,25.82,2019-01-03,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,26.49,26.384,2019-01-04,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,26.7272,26.66,2019-01-07,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,26.99,26.93,2019-01-08,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.2576,27.24,2019-01-09,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.3,27.26,2019-01-10,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.3,27.18,2019-01-11,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.0435,27.13,2019-01-14,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.1896,27.18,2019-01-15,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.23,27.3,2019-01-16,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.3832,27.245,2019-01-17,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.6387,27.5851,2019-01-18,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.22,27.36,2019-01-22,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.33,27.3721,2019-01-23,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.53,27.5,2019-01-24,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.9,27.86,2019-01-25,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.69,27.61,2019-01-28,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.85,27.8201,2019-01-29,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.0548,27.785,2019-01-30,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.18,28.0768,2019-01-31,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.09,28.1,2019-02-01,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.2511,28.19,2019-02-04,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.3112,28.3103,2019-02-05,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.1904,28.33,2019-02-06,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.8865,27.83,2019-02-07,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.78,27.6561,2019-02-08,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,27.72,27.69,2019-02-11,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.04,28.0236,2019-02-12,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.1544,28.18,2019-02-13,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.1794,28.0867,2019-02-14,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.4798,28.3523,2019-02-15,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.67,28.4,2019-02-19,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.65,28.57,2019-02-20,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.48,28.68,2019-02-21,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.69,28.58,2019-02-22,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.695,28.85,2019-02-25,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.9125,28.84,2019-02-26,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.93,28.83,2019-02-27,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.7478,28.8,2019-02-28,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.8883,28.905,2019-03-01,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.74,28.87,2019-03-04,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.82,28.73,2019-03-05,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.73,28.82,2019-03-06,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.2977,28.505,2019-03-07,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.19,28.0,2019-03-08,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.4221,28.21,2019-03-11,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.4464,28.5052,2019-03-12,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.7062,28.63,2019-03-13,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.5409,28.47,2019-03-14,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.7948,28.7526,2019-03-15,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.9154,28.8389,2019-03-18,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.9862,29.01,2019-03-19,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.9819,28.9185,2019-03-20,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.9051,28.9,2019-03-21,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.5176,28.64,2019-03-22,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.3813,28.38,2019-03-25,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.67,28.77,2019-03-26,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.5689,28.62,2019-03-27,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.5142,28.51,2019-03-28,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.6253,28.695,2019-03-29,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.068,28.8955,2019-04-01,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.0131,28.91,2019-04-02,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.3001,29.3463,2019-04-03,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.144,29.1444,2019-04-04,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.1544,29.07,2019-04-05,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.2244,29.25,2019-04-08,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.0416,29.18,2019-04-09,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.1641,29.1114,2019-04-10,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.1435,29.1707,2019-04-11,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.4,29.43,2019-04-12,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.5083,29.5141,2019-04-15,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.5136,29.62,2019-04-16,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.44,29.54,2019-04-17,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.3856,29.37,2019-04-18,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.3555,29.4099,2019-04-22,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.367,29.29,2019-04-23,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.15,29.18,2019-04-24,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.2011,29.22,2019-04-25,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.2849,29.21,2019-04-26,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.3989,29.34,2019-04-29,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.4206,29.3621,2019-04-30,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.2307,29.44,2019-05-01,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.1158,29.18,2019-05-02,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.4294,29.2512,2019-05-03,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,29.12,28.86,2019-05-06,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.7517,28.97,2019-05-07,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.73,28.64,2019-05-08,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.53,28.37,2019-05-09,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.7691,28.535,2019-05-10,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.11,28.23,2019-05-13,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.4067,28.39,2019-05-14,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.4875,28.28,2019-05-15,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.6291,28.7211,2019-05-16,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.5507,28.58,2019-05-17,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.293,28.35,2019-05-20,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.4823,28.44,2019-05-21,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.42,28.46,2019-05-22,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.1481,28.1814,2019-05-23,ISCF,ISHARES TRUST,6726.0,109.0
46434V26,28.4681,28.42,2019-05-24,ISCF,ISHARES TRUST,6726.0,109.0
