cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46428778,106.48,104.93,2019-01-02,IYF,ISHARES TRUST,6726.0,286.0
46428778,104.71,105.97,2019-01-03,IYF,ISHARES TRUST,6726.0,286.0
46428778,107.89,106.35,2019-01-04,IYF,ISHARES TRUST,6726.0,286.0
46428778,108.28,107.61,2019-01-07,IYF,ISHARES TRUST,6726.0,286.0
46428778,108.88,109.14,2019-01-08,IYF,ISHARES TRUST,6726.0,286.0
46428778,109.42,109.25,2019-01-09,IYF,ISHARES TRUST,6726.0,286.0
46428778,109.87,108.77,2019-01-10,IYF,ISHARES TRUST,6726.0,286.0
46428778,109.97,109.33,2019-01-11,IYF,ISHARES TRUST,6726.0,286.0
46428778,110.31,109.19,2019-01-14,IYF,ISHARES TRUST,6726.0,286.0
46428778,111.22,109.98,2019-01-15,IYF,ISHARES TRUST,6726.0,286.0
46428778,113.09,112.42,2019-01-16,IYF,ISHARES TRUST,6726.0,286.0
46428778,113.64,112.69,2019-01-17,IYF,ISHARES TRUST,6726.0,286.0
46428778,115.21,114.36,2019-01-18,IYF,ISHARES TRUST,6726.0,286.0
46428778,114.19,114.46,2019-01-22,IYF,ISHARES TRUST,6726.0,286.0
46428778,114.19,114.62,2019-01-23,IYF,ISHARES TRUST,6726.0,286.0
46428778,114.42,113.84,2019-01-24,IYF,ISHARES TRUST,6726.0,286.0
46428778,115.48,115.17,2019-01-25,IYF,ISHARES TRUST,6726.0,286.0
46428778,115.45,114.77,2019-01-28,IYF,ISHARES TRUST,6726.0,286.0
46428778,115.32,115.45,2019-01-29,IYF,ISHARES TRUST,6726.0,286.0
46428778,116.08,115.57,2019-01-30,IYF,ISHARES TRUST,6726.0,286.0
46428778,116.22,115.42,2019-01-31,IYF,ISHARES TRUST,6726.0,286.0
46428778,116.79,116.41,2019-02-01,IYF,ISHARES TRUST,6726.0,286.0
46428778,117.44,116.67,2019-02-04,IYF,ISHARES TRUST,6726.0,286.0
46428778,117.47,117.43,2019-02-05,IYF,ISHARES TRUST,6726.0,286.0
46428778,117.14,117.08,2019-02-06,IYF,ISHARES TRUST,6726.0,286.0
46428778,116.6,116.68,2019-02-07,IYF,ISHARES TRUST,6726.0,286.0
46428778,116.27,115.91,2019-02-08,IYF,ISHARES TRUST,6726.0,286.0
46428778,116.54,116.52,2019-02-11,IYF,ISHARES TRUST,6726.0,286.0
46428778,117.74,117.3,2019-02-12,IYF,ISHARES TRUST,6726.0,286.0
46428778,118.14,118.14,2019-02-13,IYF,ISHARES TRUST,6726.0,286.0
46428778,117.25,117.61,2019-02-14,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.17,118.08,2019-02-15,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.36,118.69,2019-02-19,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.72,119.38,2019-02-20,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.22,119.47,2019-02-21,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.39,119.31,2019-02-22,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.5,119.92,2019-02-25,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.21,119.07,2019-02-26,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.52,118.95,2019-02-27,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.46,119.45,2019-02-28,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.99,120.23,2019-03-01,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.54,120.2,2019-03-04,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.29,119.56,2019-03-05,IYF,ISHARES TRUST,6726.0,286.0
46428778,118.44,119.28,2019-03-06,IYF,ISHARES TRUST,6726.0,286.0
46428778,117.4,118.09,2019-03-07,IYF,ISHARES TRUST,6726.0,286.0
46428778,117.43,116.47,2019-03-08,IYF,ISHARES TRUST,6726.0,286.0
46428778,118.83,117.87,2019-03-11,IYF,ISHARES TRUST,6726.0,286.0
46428778,119.17,118.97,2019-03-12,IYF,ISHARES TRUST,6726.0,286.0
