cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
47973J10,8.33,8.31,2019-01-02,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.22,8.39,2019-01-03,JYNT,JOINT CORP,9999.0,85.0
47973J10,7.88,8.6,2019-01-04,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.0,7.89,2019-01-07,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.13,8.09,2019-01-08,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.16,8.19,2019-01-09,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.21,8.1,2019-01-10,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.07,8.25,2019-01-11,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.06,8.02,2019-01-14,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.09,8.16,2019-01-15,JYNT,JOINT CORP,9999.0,85.0
47973J10,7.93,8.07,2019-01-16,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.1,7.98,2019-01-17,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.1,8.14,2019-01-18,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.12,8.05,2019-01-22,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.08,8.11,2019-01-23,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.06,8.04,2019-01-24,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.18,8.1,2019-01-25,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.24,8.17,2019-01-28,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.12,8.24,2019-01-29,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.16,8.3492,2019-01-30,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.19,8.09,2019-01-31,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.36,8.14,2019-02-01,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.6,8.37,2019-02-04,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.74,8.6,2019-02-05,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.47,8.66,2019-02-06,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.7,9.21,2019-02-07,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.67,8.4,2019-02-08,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.62,9.4401,2019-02-11,JYNT,JOINT CORP,9999.0,85.0
47973J10,8.79,8.75,2019-02-12,JYNT,JOINT CORP,9999.0,85.0
47973J10,9.04,8.86,2019-02-13,JYNT,JOINT CORP,9999.0,85.0
47973J10,9.15,9.0,2019-02-14,JYNT,JOINT CORP,9999.0,85.0
47973J10,9.17,9.12,2019-02-15,JYNT,JOINT CORP,9999.0,85.0
47973J10,9.64,9.26,2019-02-19,JYNT,JOINT CORP,9999.0,85.0
47973J10,10.82,10.22,2019-02-20,JYNT,JOINT CORP,9999.0,85.0
47973J10,11.02,10.9,2019-02-21,JYNT,JOINT CORP,9999.0,85.0
47973J10,10.93,11.03,2019-02-22,JYNT,JOINT CORP,9999.0,85.0
47973J10,10.98,10.99,2019-02-25,JYNT,JOINT CORP,9999.0,85.0
47973J10,10.81,10.94,2019-02-26,JYNT,JOINT CORP,9999.0,85.0
47973J10,11.09,10.82,2019-02-27,JYNT,JOINT CORP,9999.0,85.0
47973J10,10.96,11.05,2019-02-28,JYNT,JOINT CORP,9999.0,85.0
47973J10,11.98,11.49,2019-03-01,JYNT,JOINT CORP,9999.0,85.0
47973J10,12.19,12.01,2019-03-04,JYNT,JOINT CORP,9999.0,85.0
47973J10,12.02,12.19,2019-03-05,JYNT,JOINT CORP,9999.0,85.0
47973J10,11.95,11.75,2019-03-06,JYNT,JOINT CORP,9999.0,85.0
47973J10,12.02,12.025,2019-03-07,JYNT,JOINT CORP,9999.0,85.0
47973J10,13.45,12.75,2019-03-08,JYNT,JOINT CORP,9999.0,85.0
47973J10,14.9,13.5,2019-03-11,JYNT,JOINT CORP,9999.0,85.0
47973J10,14.52,14.9,2019-03-12,JYNT,JOINT CORP,9999.0,85.0
47973J10,14.0,14.53,2019-03-13,JYNT,JOINT CORP,9999.0,85.0
47973J10,14.04,13.99,2019-03-14,JYNT,JOINT CORP,9999.0,85.0
47973J10,14.44,14.08,2019-03-15,JYNT,JOINT CORP,9999.0,85.0
47973J10,14.22,14.37,2019-03-18,JYNT,JOINT CORP,9999.0,85.0
47973J10,13.86,14.23,2019-03-19,JYNT,JOINT CORP,9999.0,85.0
47973J10,14.45,14.0,2019-03-20,JYNT,JOINT CORP,9999.0,85.0
47973J10,15.33,14.45,2019-03-21,JYNT,JOINT CORP,9999.0,85.0
