cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
48349710,20.0,19.46,2019-01-02,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.65,19.8,2019-01-03,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,20.37,19.75,2019-01-04,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,20.25,20.51,2019-01-07,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.7,20.27,2019-01-08,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.51,19.48,2019-01-09,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,20.25,19.38,2019-01-10,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.76,20.25,2019-01-11,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.99,19.42,2019-01-14,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.59,20.19,2019-01-15,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,18.9,19.71,2019-01-16,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,18.15,18.82,2019-01-17,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,16.71,18.16,2019-01-18,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,16.51,16.71,2019-01-22,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,16.62,16.57,2019-01-23,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,16.94,16.75,2019-01-24,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,18.12,17.0,2019-01-25,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,17.34,18.25,2019-01-28,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,17.29,17.6,2019-01-29,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,17.6,17.36,2019-01-30,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,18.69,17.55,2019-01-31,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,17.95,18.43,2019-02-01,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,18.82,17.96,2019-02-04,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,18.9,19.04,2019-02-05,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,18.54,18.69,2019-02-06,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,18.49,18.34,2019-02-07,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.16,18.49,2019-02-08,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.07,19.03,2019-02-11,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.08,18.93,2019-02-12,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.24,19.25,2019-02-13,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,19.6,19.32,2019-02-14,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,21.35,19.9,2019-02-15,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,20.25,21.36,2019-02-19,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,20.0,20.25,2019-02-20,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,20.81,19.92,2019-02-21,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,20.61,20.9,2019-02-22,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,22.29,20.83,2019-02-25,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,21.8,22.23,2019-02-26,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,23.13,21.8,2019-02-27,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,22.68,23.14,2019-02-28,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,23.39,22.7,2019-03-01,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,22.8,23.35,2019-03-04,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,22.67,22.76,2019-03-05,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,21.5,22.43,2019-03-06,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,22.5,21.49,2019-03-07,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,21.69,22.47,2019-03-08,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,22.3,21.76,2019-03-11,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,23.88,22.5,2019-03-12,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,26.23,24.35,2019-03-13,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,31.1,26.24,2019-03-14,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,28.95,30.86,2019-03-15,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,26.33,28.51,2019-03-18,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
48349710,28.22,27.11,2019-03-19,KALV,KALVISTA PHARMACEUTICALS INC,9999.0,79.0
