cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
48253L20,24.45,22.75,2019-01-02,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,23.25,24.18,2019-01-03,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.33,23.57,2019-01-04,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.19,24.31,2019-01-07,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.64,26.41,2019-01-08,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.05,26.72,2019-01-09,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.0,26.1,2019-01-10,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.1,26.97,2019-01-11,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.26,28.1,2019-01-14,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.47,27.25,2019-01-15,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.0,27.54,2019-01-16,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.38,27.79,2019-01-17,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.97,28.26,2019-01-18,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.01,27.8,2019-01-22,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.0,27.13,2019-01-23,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.0,26.86,2019-01-24,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.45,27.13,2019-01-25,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.55,27.16,2019-01-28,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.05,25.56,2019-01-29,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.55,25.0,2019-01-30,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.06,25.75,2019-01-31,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.57,26.03,2019-02-01,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.0,27.48,2019-02-04,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.67,28.05,2019-02-05,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.76,27.65,2019-02-06,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.65,27.56,2019-02-07,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.9,26.64,2019-02-08,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.23,26.89,2019-02-11,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.2,27.62,2019-02-12,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.05,27.35,2019-02-13,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.63,28.0,2019-02-14,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.42,28.87,2019-02-15,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.73,28.41,2019-02-19,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,29.54,28.4,2019-02-20,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.89,29.45,2019-02-21,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.66,28.95,2019-02-22,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,29.38,28.65,2019-02-25,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,30.0,29.37,2019-02-26,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.24,29.77,2019-02-27,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.36,28.19,2019-02-28,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.15,26.46,2019-03-01,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.18,26.33,2019-03-04,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.08,26.18,2019-03-05,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.5,25.03,2019-03-06,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,22.98,24.34,2019-03-07,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,23.5,22.76,2019-03-08,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.8,23.72,2019-03-11,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.82,25.23,2019-03-12,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.9,25.95,2019-03-13,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.7,25.61,2019-03-14,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.65,24.68,2019-03-15,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.68,24.65,2019-03-18,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.52,24.84,2019-03-19,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.23,25.5,2019-03-20,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.59,26.74,2019-03-21,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.85,26.27,2019-03-22,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.59,24.77,2019-03-25,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.7,25.82,2019-03-26,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.18,25.7,2019-03-27,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.18,24.91,2019-03-28,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.14,25.5,2019-03-29,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.38,25.32,2019-04-01,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.66,26.22,2019-04-02,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.65,26.48,2019-04-03,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.83,25.82,2019-04-04,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.72,26.8,2019-04-05,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.7,26.69,2019-04-08,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.43,27.5,2019-04-09,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.39,27.45,2019-04-10,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.26,28.2,2019-04-11,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.56,28.57,2019-04-12,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.98,28.36,2019-04-15,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.57,28.97,2019-04-16,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.73,28.71,2019-04-17,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.69,28.73,2019-04-18,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,29.24,27.73,2019-04-22,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,29.41,29.2,2019-04-23,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.12,29.31,2019-04-24,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.22,27.92,2019-04-25,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.27,27.11,2019-04-26,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.36,28.08,2019-04-29,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,28.05,28.53,2019-04-30,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.64,28.11,2019-05-01,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.85,27.51,2019-05-02,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.24,27.03,2019-05-03,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,27.31,26.77,2019-05-06,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.64,26.79,2019-05-07,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.28,26.59,2019-05-08,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.91,26.02,2019-05-09,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.78,25.8,2019-05-10,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.66,25.24,2019-05-13,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.69,24.95,2019-05-14,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.88,25.34,2019-05-15,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,26.43,25.95,2019-05-16,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,25.53,26.03,2019-05-17,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.51,25.23,2019-05-20,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,24.97,24.69,2019-05-21,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,23.5,27.5,2019-05-22,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,22.68,23.14,2019-05-23,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,22.67,22.85,2019-05-24,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,22.25,22.9,2019-05-28,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,22.32,21.91,2019-05-29,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.73,21.43,2019-05-30,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.7,20.5,2019-05-31,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.76,19.7,2019-06-03,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,21.53,21.0,2019-06-04,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.01,21.53,2019-06-05,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.78,20.02,2019-06-06,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.19,19.88,2019-06-07,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.65,20.21,2019-06-10,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.77,19.86,2019-06-11,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.42,19.69,2019-06-12,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.53,20.06,2019-06-13,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.09,20.47,2019-06-14,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.31,18.99,2019-06-17,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.34,19.67,2019-06-18,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.28,20.26,2019-06-19,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.97,20.83,2019-06-20,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.84,20.86,2019-06-21,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.63,20.85,2019-06-24,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.08,19.6,2019-06-25,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.39,19.3,2019-06-26,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.7,19.42,2019-06-27,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.43,19.6,2019-06-28,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,20.77,20.81,2019-07-01,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.57,20.65,2019-07-02,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.2,19.59,2019-07-03,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,19.22,19.03,2019-07-05,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,18.67,19.22,2019-07-08,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,18.84,18.52,2019-07-09,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,18.95,19.08,2019-07-10,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,18.74,19.0,2019-07-11,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
48253L20,18.79,18.81,2019-07-12,KLXE,K L X ENERGY SERVICES HDGS INC,9999.0,53.0
