cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
86333M10,23.97,24.63,2019-01-02,LRN,STRIDE INC,8211.0,197.0
86333M10,23.93,24.0,2019-01-03,LRN,STRIDE INC,8211.0,197.0
86333M10,24.1,23.89,2019-01-04,LRN,STRIDE INC,8211.0,197.0
86333M10,24.26,24.1,2019-01-07,LRN,STRIDE INC,8211.0,197.0
86333M10,24.28,24.37,2019-01-08,LRN,STRIDE INC,8211.0,197.0
86333M10,25.02,24.25,2019-01-09,LRN,STRIDE INC,8211.0,197.0
86333M10,24.94,24.96,2019-01-10,LRN,STRIDE INC,8211.0,197.0
86333M10,24.58,24.87,2019-01-11,LRN,STRIDE INC,8211.0,197.0
86333M10,24.21,24.48,2019-01-14,LRN,STRIDE INC,8211.0,197.0
86333M10,24.88,24.3,2019-01-15,LRN,STRIDE INC,8211.0,197.0
86333M10,24.89,24.85,2019-01-16,LRN,STRIDE INC,8211.0,197.0
86333M10,25.16,24.89,2019-01-17,LRN,STRIDE INC,8211.0,197.0
86333M10,25.59,25.22,2019-01-18,LRN,STRIDE INC,8211.0,197.0
86333M10,25.86,25.59,2019-01-22,LRN,STRIDE INC,8211.0,197.0
86333M10,29.64,23.7,2019-01-23,LRN,STRIDE INC,8211.0,197.0
86333M10,30.2,29.69,2019-01-24,LRN,STRIDE INC,8211.0,197.0
86333M10,29.4,30.2,2019-01-25,LRN,STRIDE INC,8211.0,197.0
86333M10,29.48,29.4,2019-01-28,LRN,STRIDE INC,8211.0,197.0
86333M10,29.9,29.49,2019-01-29,LRN,STRIDE INC,8211.0,197.0
86333M10,29.93,29.85,2019-01-30,LRN,STRIDE INC,8211.0,197.0
86333M10,31.51,29.93,2019-01-31,LRN,STRIDE INC,8211.0,197.0
86333M10,31.63,31.47,2019-02-01,LRN,STRIDE INC,8211.0,197.0
86333M10,31.83,31.63,2019-02-04,LRN,STRIDE INC,8211.0,197.0
86333M10,31.92,31.98,2019-02-05,LRN,STRIDE INC,8211.0,197.0
86333M10,31.14,31.9,2019-02-06,LRN,STRIDE INC,8211.0,197.0
86333M10,31.11,31.09,2019-02-07,LRN,STRIDE INC,8211.0,197.0
86333M10,31.18,30.91,2019-02-08,LRN,STRIDE INC,8211.0,197.0
86333M10,31.95,31.21,2019-02-11,LRN,STRIDE INC,8211.0,197.0
86333M10,32.0,32.1,2019-02-12,LRN,STRIDE INC,8211.0,197.0
86333M10,32.16,32.0,2019-02-13,LRN,STRIDE INC,8211.0,197.0
86333M10,31.98,32.16,2019-02-14,LRN,STRIDE INC,8211.0,197.0
86333M10,32.06,32.21,2019-02-15,LRN,STRIDE INC,8211.0,197.0
86333M10,32.23,32.08,2019-02-19,LRN,STRIDE INC,8211.0,197.0
86333M10,32.0,32.16,2019-02-20,LRN,STRIDE INC,8211.0,197.0
86333M10,32.66,31.97,2019-02-21,LRN,STRIDE INC,8211.0,197.0
86333M10,32.84,32.71,2019-02-22,LRN,STRIDE INC,8211.0,197.0
86333M10,32.67,32.97,2019-02-25,LRN,STRIDE INC,8211.0,197.0
86333M10,32.41,32.57,2019-02-26,LRN,STRIDE INC,8211.0,197.0
86333M10,32.23,32.32,2019-02-27,LRN,STRIDE INC,8211.0,197.0
86333M10,32.04,32.26,2019-02-28,LRN,STRIDE INC,8211.0,197.0
86333M10,32.62,32.22,2019-03-01,LRN,STRIDE INC,8211.0,197.0
86333M10,32.34,32.61,2019-03-04,LRN,STRIDE INC,8211.0,197.0
86333M10,32.39,32.35,2019-03-05,LRN,STRIDE INC,8211.0,197.0
86333M10,32.44,32.29,2019-03-06,LRN,STRIDE INC,8211.0,197.0
86333M10,32.44,32.27,2019-03-07,LRN,STRIDE INC,8211.0,197.0
