cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
51841510,6.96,6.86,2019-01-02,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,6.81,6.87,2019-01-03,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,6.85,6.89,2019-01-04,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,6.96,6.9,2019-01-07,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.01,6.91,2019-01-08,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.3,7.05,2019-01-09,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.26,7.27,2019-01-10,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.4,7.22,2019-01-11,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.41,7.42,2019-01-14,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.25,7.46,2019-01-15,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.22,7.25,2019-01-16,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.29,7.21,2019-01-17,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.44,7.31,2019-01-18,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.21,7.38,2019-01-22,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.29,7.22,2019-01-23,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.52,7.35,2019-01-24,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.78,7.56,2019-01-25,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.57,7.64,2019-01-28,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.54,7.6,2019-01-29,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.8,7.63,2019-01-30,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.8,7.8,2019-01-31,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.75,7.8,2019-02-01,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.81,7.75,2019-02-04,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.86,7.81,2019-02-05,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.96,7.89,2019-02-06,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.9,7.9,2019-02-07,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.95,7.8,2019-02-08,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,7.95,8.0,2019-02-11,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,8.18,7.98,2019-02-12,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,10.6,9.35,2019-02-13,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,11.5,10.7,2019-02-14,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,11.08,11.32,2019-02-15,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,11.23,11.04,2019-02-19,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,11.75,11.23,2019-02-20,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
