cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
N5374510,83.89,81.71,2019-01-02,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,82.26,83.67,2019-01-03,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,86.7,86.28,2019-01-04,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,86.94,86.55,2019-01-07,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,88.61,87.71,2019-01-08,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,88.11,88.9,2019-01-09,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,87.4,87.35,2019-01-10,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,86.0,87.16,2019-01-11,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,85.71,85.2,2019-01-14,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,84.58,85.65,2019-01-15,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,84.78,84.38,2019-01-16,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,85.85,84.11,2019-01-17,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,87.86,86.83,2019-01-18,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,85.8,86.99,2019-01-22,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,84.43,85.81,2019-01-23,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,83.96,84.35,2019-01-24,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,86.21,85.1,2019-01-25,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,86.14,85.52,2019-01-28,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,87.09,86.28,2019-01-29,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,88.22,87.75,2019-01-30,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,86.97,86.5,2019-01-31,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,88.89,85.26,2019-02-01,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
N5374510,87.69,88.28,2019-02-04,LYB,LYONDELLBASELL INDUSTRIES N V,5169.0,165.0
