cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
56578810,0.3813,0.378,2019-01-02,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.38,0.3924,2019-01-03,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.4029,0.38,2019-01-04,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.418,0.4144,2019-01-07,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.4256,0.4119,2019-01-08,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.4209,0.4468,2019-01-09,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.402,0.429,2019-01-10,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.39,0.405,2019-01-11,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.38,0.4,2019-01-14,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.3774,0.3879,2019-01-15,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.37006,0.3716,2019-01-16,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.366,0.37,2019-01-17,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.383,0.373,2019-01-18,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.368,0.39,2019-01-22,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.4093,0.38,2019-01-23,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.3968,0.4069,2019-01-24,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.3755,0.387,2019-01-25,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.368,0.369,2019-01-28,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.36,0.369,2019-01-29,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.34999,0.3618,2019-01-30,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.3401,0.3517,2019-01-31,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.34,0.3401,2019-02-01,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.47,0.336,2019-02-04,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.4122,0.47,2019-02-05,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.396,0.4246,2019-02-06,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.386,0.4,2019-02-07,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.515,0.372,2019-02-08,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.5044,0.55,2019-02-11,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.57,0.5001,2019-02-12,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.53,0.59,2019-02-13,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.52,0.528,2019-02-14,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.54,0.53,2019-02-15,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.7299,0.6,2019-02-19,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.705,0.685,2019-02-20,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.6335,0.6505,2019-02-21,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.7399,0.6511,2019-02-22,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.6949,0.69,2019-02-25,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.65,0.6782,2019-02-26,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.64,0.64,2019-02-27,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.633,0.6595,2019-02-28,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.6449,0.6525,2019-03-01,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.6199,0.6362,2019-03-04,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.65,0.65,2019-03-05,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.61,0.6605,2019-03-06,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
56578810,0.64,0.62,2019-03-07,MARA,MARATHON DIGITAL HOLDINGS INC,9999.0,101.0
