cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46429B67,52.33,51.6,2019-01-02,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,51.0,51.54,2019-01-03,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,53.07,52.18,2019-01-04,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,53.58,53.05,2019-01-07,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,53.99,53.92,2019-01-08,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,55.2,54.71,2019-01-09,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,55.65,55.03,2019-01-10,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,55.28,55.16,2019-01-11,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,54.62,54.35,2019-01-14,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,55.27,55.07,2019-01-15,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,56.085,55.72,2019-01-16,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,56.45,55.68,2019-01-17,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,57.15,56.98,2019-01-18,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,55.67,56.18,2019-01-22,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,56.08,56.28,2019-01-23,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,56.82,56.29,2019-01-24,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,57.84,57.53,2019-01-25,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,57.39,57.13,2019-01-28,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,57.37,57.56,2019-01-29,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,58.57,57.83,2019-01-30,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.31,58.81,2019-01-31,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,58.95,58.89,2019-02-01,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.12,58.81,2019-02-04,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,60.2,59.47,2019-02-05,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.58,60.27,2019-02-06,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,58.71,59.03,2019-02-07,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,58.77,58.48,2019-02-08,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,58.95,59.27,2019-02-11,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.17,59.38,2019-02-12,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.5,59.9,2019-02-13,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.21,59.06,2019-02-14,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,58.8,58.98,2019-02-15,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.54,58.79,2019-02-19,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.91,59.83,2019-02-20,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.78,60.08,2019-02-21,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,60.93,60.68,2019-02-22,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,62.05,62.05,2019-02-25,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,61.84,61.36,2019-02-26,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,61.11,61.14,2019-02-27,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,60.71,60.82,2019-02-28,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,61.21,61.55,2019-03-01,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,61.86,62.08,2019-03-04,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,62.86,62.4,2019-03-05,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,62.39,62.78,2019-03-06,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,60.68,61.66,2019-03-07,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,59.61,59.26,2019-03-08,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,61.14,60.56,2019-03-11,MCHI,ISHARES TRUST,6726.0,322.0
46429B67,61.66,61.65,2019-03-12,MCHI,ISHARES TRUST,6726.0,322.0
