cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
59071710,4.49,4.3,2019-01-02,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.53,4.48,2019-01-03,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.7,4.548,2019-01-04,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.76,4.75,2019-01-07,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.86,4.8,2019-01-08,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.88,4.93,2019-01-09,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.62,4.8,2019-01-10,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.776,4.69,2019-01-11,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.71,4.68,2019-01-14,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.7,4.72,2019-01-15,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.82,4.76,2019-01-16,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.78,4.8,2019-01-17,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.72,4.87,2019-01-18,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.69,4.69,2019-01-22,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.78,4.77,2019-01-23,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.71,4.73,2019-01-24,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.74,4.69,2019-01-25,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.6,4.69,2019-01-28,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.58,4.58,2019-01-29,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.54,4.58,2019-01-30,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.41,4.49,2019-01-31,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.44,4.45,2019-02-01,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.31,4.44,2019-02-04,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.321,4.3,2019-02-05,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.26,4.46,2019-02-06,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.22,4.31,2019-02-07,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.27,4.14,2019-02-08,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.2,4.33,2019-02-11,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.22,4.2525,2019-02-12,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.27,4.26,2019-02-13,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.23,4.2,2019-02-14,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.23,4.21,2019-02-15,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.2,4.36,2019-02-19,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.26,4.37,2019-02-20,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.19,4.32,2019-02-21,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.44,4.22,2019-02-22,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.52,4.61,2019-02-25,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.66,4.51,2019-02-26,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.63,4.66,2019-02-27,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.38,4.58,2019-02-28,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.33,4.48,2019-03-01,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.26,4.33,2019-03-04,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.35,4.32,2019-03-05,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.24,4.38,2019-03-06,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.25,4.28,2019-03-07,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.25,4.25,2019-03-08,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.22,4.25,2019-03-11,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.32,4.27,2019-03-12,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.44,4.32,2019-03-13,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.3,4.4,2019-03-14,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.38,4.5,2019-03-15,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.1686,4.64,2019-03-18,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.22,5.37,2019-03-19,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.79,4.99,2019-03-20,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.86,4.98,2019-03-21,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.85,4.93,2019-03-22,MESO,MESOBLAST LTD,9999.0,34.0
59071710,4.85,5.03,2019-03-25,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.14,4.87,2019-03-26,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.0,5.01,2019-03-27,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.14,5.07,2019-03-28,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.25,5.1101,2019-03-29,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.58,5.28,2019-04-01,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.61,5.67,2019-04-02,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.479,5.6,2019-04-03,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.26,5.39,2019-04-04,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.2,5.23,2019-04-05,MESO,MESOBLAST LTD,9999.0,34.0
59071710,5.52,5.3,2019-04-08,MESO,MESOBLAST LTD,9999.0,34.0
