cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
63530920,6.73,6.41,2019-01-02,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.71,6.69,2019-01-03,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.99,6.78,2019-01-04,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,7.04,6.98,2019-01-07,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,7.21,7.1,2019-01-08,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,7.21,7.24,2019-01-09,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,7.18,7.19,2019-01-10,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,7.05,7.17,2019-01-11,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.98,7.05,2019-01-14,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.95,7.0,2019-01-15,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,7.05,6.93,2019-01-16,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.95,7.04,2019-01-17,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,7.04,6.98,2019-01-18,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.73,7.02,2019-01-22,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.84,6.74,2019-01-23,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,7.04,6.83,2019-01-24,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.85,7.06,2019-01-25,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.91,6.84,2019-01-28,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.99,6.93,2019-01-29,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.89,7.0,2019-01-30,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
63530920,6.91,6.9,2019-01-31,NCMI,NATIONAL CINEMEDIA INC,7319.0,157.0
