cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
64051M70,1.86,1.67,2019-01-02,NEON,NEONODE INC,3670.0,269.0
64051M70,1.96,2.1,2019-01-03,NEON,NEONODE INC,3670.0,269.0
64051M70,1.95,2.05,2019-01-04,NEON,NEONODE INC,3670.0,269.0
64051M70,2.12,1.96,2019-01-07,NEON,NEONODE INC,3670.0,269.0
64051M70,2.04,2.16,2019-01-08,NEON,NEONODE INC,3670.0,269.0
64051M70,2.11,2.07,2019-01-09,NEON,NEONODE INC,3670.0,269.0
64051M70,2.24,2.11,2019-01-10,NEON,NEONODE INC,3670.0,269.0
64051M70,2.4,2.24,2019-01-11,NEON,NEONODE INC,3670.0,269.0
64051M70,2.85,2.4,2019-01-14,NEON,NEONODE INC,3670.0,269.0
64051M70,2.81,2.85,2019-01-15,NEON,NEONODE INC,3670.0,269.0
64051M70,2.56,2.53,2019-01-16,NEON,NEONODE INC,3670.0,269.0
64051M70,2.54,2.64,2019-01-17,NEON,NEONODE INC,3670.0,269.0
64051M70,2.6,2.59,2019-01-18,NEON,NEONODE INC,3670.0,269.0
64051M70,2.57,2.6,2019-01-22,NEON,NEONODE INC,3670.0,269.0
64051M70,2.66,2.55,2019-01-23,NEON,NEONODE INC,3670.0,269.0
64051M70,2.5,2.6,2019-01-24,NEON,NEONODE INC,3670.0,269.0
64051M70,2.4881,2.29,2019-01-25,NEON,NEONODE INC,3670.0,269.0
64051M70,2.5,2.48,2019-01-28,NEON,NEONODE INC,3670.0,269.0
64051M70,2.5,2.47,2019-01-29,NEON,NEONODE INC,3670.0,269.0
64051M70,2.5313,2.5095,2019-01-30,NEON,NEONODE INC,3670.0,269.0
64051M70,2.43,2.54,2019-01-31,NEON,NEONODE INC,3670.0,269.0
64051M70,2.4,2.5644,2019-02-01,NEON,NEONODE INC,3670.0,269.0
64051M70,2.4301,2.4101,2019-02-04,NEON,NEONODE INC,3670.0,269.0
64051M70,2.44,2.5877,2019-02-05,NEON,NEONODE INC,3670.0,269.0
64051M70,2.451,2.4155,2019-02-06,NEON,NEONODE INC,3670.0,269.0
64051M70,2.43,2.45,2019-02-07,NEON,NEONODE INC,3670.0,269.0
64051M70,2.61,2.44,2019-02-08,NEON,NEONODE INC,3670.0,269.0
64051M70,2.69,2.64,2019-02-11,NEON,NEONODE INC,3670.0,269.0
64051M70,2.6,2.65,2019-02-12,NEON,NEONODE INC,3670.0,269.0
64051M70,2.61,2.71,2019-02-13,NEON,NEONODE INC,3670.0,269.0
64051M70,2.65,2.61,2019-02-14,NEON,NEONODE INC,3670.0,269.0
64051M70,2.51,2.61,2019-02-15,NEON,NEONODE INC,3670.0,269.0
64051M70,2.65,2.52,2019-02-19,NEON,NEONODE INC,3670.0,269.0
64051M70,2.65,2.66,2019-02-20,NEON,NEONODE INC,3670.0,269.0
64051M70,2.77,2.65,2019-02-21,NEON,NEONODE INC,3670.0,269.0
64051M70,2.56,2.65,2019-02-22,NEON,NEONODE INC,3670.0,269.0
64051M70,2.7,2.613,2019-02-25,NEON,NEONODE INC,3670.0,269.0
64051M70,2.7,2.7,2019-02-26,NEON,NEONODE INC,3670.0,269.0
64051M70,2.97,2.71,2019-02-27,NEON,NEONODE INC,3670.0,269.0
64051M70,3.01,3.01,2019-02-28,NEON,NEONODE INC,3670.0,269.0
64051M70,3.14,3.07,2019-03-01,NEON,NEONODE INC,3670.0,269.0
64051M70,3.04,3.15,2019-03-04,NEON,NEONODE INC,3670.0,269.0
64051M70,3.07,3.07,2019-03-05,NEON,NEONODE INC,3670.0,269.0
