cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
45779A84,0.1681,0.1589,2019-01-02,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1699,0.1699,2019-01-03,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.17,0.16,2019-01-04,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1686,0.17,2019-01-07,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1805,0.17,2019-01-08,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1868,0.185,2019-01-09,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1795,0.19,2019-01-10,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.188,0.175,2019-01-11,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1729,0.178,2019-01-14,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.166,0.175,2019-01-15,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.165,0.1628,2019-01-16,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.16,0.1645,2019-01-17,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1949,0.164,2019-01-18,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.19,0.1991,2019-01-22,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1918,0.21,2019-01-23,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.191,0.2015,2019-01-24,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1899,0.1954,2019-01-25,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.195,0.195,2019-01-28,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.185,0.1817,2019-01-29,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1825,0.18,2019-01-30,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1822,0.1825,2019-01-31,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1852,0.1819,2019-02-01,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1902,0.1891,2019-02-04,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1905,0.1905,2019-02-05,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.197,0.198,2019-02-06,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.2088,0.199,2019-02-07,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.189,0.22,2019-02-08,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1732,0.1675,2019-02-11,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1744,0.1765,2019-02-12,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1755,0.1837,2019-02-13,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.19,0.176,2019-02-14,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.2,0.195,2019-02-15,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.185,0.2,2019-02-19,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.18,0.1818,2019-02-20,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1775,0.176,2019-02-21,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1775,0.171,2019-02-22,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.175,0.172,2019-02-25,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.173,0.1691,2019-02-26,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.168,0.165,2019-02-27,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1729,0.165,2019-02-28,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.172,0.16,2019-03-01,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.17,0.17,2019-03-04,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.165,0.158,2019-03-05,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1548,0.162,2019-03-06,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1513,0.156,2019-03-07,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1485,0.1475,2019-03-08,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.15,0.1485,2019-03-11,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.157,0.157,2019-03-12,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.153,0.1588,2019-03-13,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1575,0.148,2019-03-14,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1524,0.155,2019-03-15,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.16,0.1501,2019-03-18,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1592,0.1645,2019-03-19,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1599,0.1526,2019-03-20,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.16,0.16,2019-03-21,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.155,0.15,2019-03-22,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1525,0.149,2019-03-25,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.139,0.145,2019-03-26,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.142,0.136,2019-03-27,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.1375,0.142,2019-03-28,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,0.14,0.135,2019-03-29,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,6.39,7.0,2019-04-01,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,5.7,5.77,2019-04-02,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,7.14,6.55,2019-04-03,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.1,5.08,2019-04-04,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.19,4.06,2019-04-05,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.54,4.1,2019-04-08,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.33,4.56,2019-04-09,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.58,4.28,2019-04-10,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.97,4.6,2019-04-11,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.93,4.96,2019-04-12,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.82,4.89,2019-04-15,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,5.17,4.79,2019-04-16,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.85,5.25,2019-04-17,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.49,4.81,2019-04-18,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.35,4.5,2019-04-22,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.35,4.32,2019-04-23,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.27,4.38,2019-04-24,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.21,4.22,2019-04-25,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.19,4.17,2019-04-26,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.81,4.12,2019-04-29,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,4.62,4.74,2019-04-30,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,5.07,4.56,2019-05-01,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,5.56,6.4,2019-05-02,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,5.45,5.53,2019-05-03,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,5.3,5.29,2019-05-06,NSPR,INSPIREMD INC,8011.0,129.0
45779A84,5.1,5.18,2019-05-07,NSPR,INSPIREMD INC,8011.0,129.0
