cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
67058H10,21.29,20.62,2019-01-02,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,21.46,21.3,2019-01-03,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,22.75,21.91,2019-01-04,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,23.18,22.72,2019-01-07,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,24.46,23.46,2019-01-08,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.3,24.72,2019-01-09,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,24.95,24.73,2019-01-10,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.0,24.67,2019-01-11,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,24.99,24.76,2019-01-14,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.35,25.03,2019-01-15,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.44,25.4,2019-01-16,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.61,25.21,2019-01-17,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.38,25.81,2019-01-18,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.65,26.2,2019-01-22,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.39,25.68,2019-01-23,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.72,25.36,2019-01-24,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.27,25.8,2019-01-25,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.58,26.0,2019-01-28,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.25,25.58,2019-01-29,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.77,25.4,2019-01-30,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.49,25.85,2019-01-31,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.38,25.46,2019-02-01,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.43,26.21,2019-02-04,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.64,26.42,2019-02-05,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.05,26.55,2019-02-06,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,24.86,25.31,2019-02-07,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,24.68,24.75,2019-02-08,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,24.88,24.62,2019-02-11,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.65,25.19,2019-02-12,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.15,25.62,2019-02-13,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.65,25.88,2019-02-14,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.48,26.72,2019-02-15,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.85,26.23,2019-02-19,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.43,26.82,2019-02-20,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.19,26.42,2019-02-21,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.28,26.27,2019-02-22,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.39,26.19,2019-02-25,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.7,26.34,2019-02-26,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.88,25.69,2019-02-27,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.91,25.88,2019-02-28,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.13,26.09,2019-03-01,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.18,26.27,2019-03-04,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.31,26.15,2019-03-05,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.27,26.12,2019-03-06,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.8,26.39,2019-03-07,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.72,26.39,2019-03-08,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.32,26.95,2019-03-11,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.74,27.41,2019-03-12,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.58,26.46,2019-03-13,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.7,26.55,2019-03-14,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.77,26.58,2019-03-15,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.05,26.86,2019-03-18,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.15,27.02,2019-03-19,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.23,27.11,2019-03-20,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.62,27.18,2019-03-21,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.97,27.37,2019-03-22,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.61,26.79,2019-03-25,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.93,26.87,2019-03-26,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.77,26.89,2019-03-27,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.81,26.77,2019-03-28,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.89,26.98,2019-03-29,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.5,27.11,2019-04-01,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.71,27.51,2019-04-02,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.51,27.78,2019-04-03,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.31,27.45,2019-04-04,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.56,27.24,2019-04-05,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.59,27.59,2019-04-08,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.36,27.45,2019-04-09,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.51,27.49,2019-04-10,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.66,27.45,2019-04-11,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.75,27.84,2019-04-12,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.78,27.7,2019-04-15,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.72,27.95,2019-04-16,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.54,27.89,2019-04-17,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.25,27.51,2019-04-18,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.64,27.49,2019-04-22,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.41,27.53,2019-04-23,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.06,27.4,2019-04-24,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.25,27.14,2019-04-25,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.34,27.25,2019-04-26,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.23,27.35,2019-04-29,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.19,27.49,2019-04-30,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.41,27.22,2019-05-01,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.8,27.12,2019-05-02,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.98,27.0,2019-05-03,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.06,26.68,2019-05-06,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.28,26.19,2019-05-07,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.38,26.19,2019-05-08,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.37,26.19,2019-05-09,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.42,26.5,2019-05-10,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.9,27.9,2019-05-13,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.13,28.03,2019-05-14,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.78,28.0,2019-05-15,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.68,27.78,2019-05-16,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.65,27.55,2019-05-17,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.67,27.58,2019-05-20,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.07,27.69,2019-05-21,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.87,28.0,2019-05-22,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.22,27.61,2019-05-23,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.22,27.35,2019-05-24,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.87,27.21,2019-05-28,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.78,26.62,2019-05-29,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.22,26.78,2019-05-30,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.96,26.86,2019-05-31,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.28,26.96,2019-06-03,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.56,27.43,2019-06-04,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.25,27.55,2019-06-05,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.23,27.22,2019-06-06,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.15,27.23,2019-06-07,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.91,27.28,2019-06-10,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.91,27.06,2019-06-11,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.55,26.69,2019-06-12,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.51,26.71,2019-06-13,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.3,26.55,2019-06-14,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.19,26.32,2019-06-17,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.21,26.27,2019-06-18,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.25,26.11,2019-06-19,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.31,26.56,2019-06-20,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.96,26.23,2019-06-21,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.56,26.02,2019-06-24,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,25.98,26.45,2019-06-25,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.59,26.14,2019-06-26,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,26.53,26.64,2019-06-27,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.14,26.56,2019-06-28,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.61,27.39,2019-07-01,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.08,27.35,2019-07-02,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.63,27.0,2019-07-03,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.07,27.53,2019-07-05,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.53,27.97,2019-07-08,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.0,27.5,2019-07-09,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.27,28.18,2019-07-10,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.51,28.38,2019-07-11,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.41,28.42,2019-07-12,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.4,28.5,2019-07-15,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.55,28.49,2019-07-16,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.4,28.56,2019-07-17,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.3,28.28,2019-07-18,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.19,28.27,2019-07-19,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.96,28.25,2019-07-22,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,29.01,28.97,2019-07-23,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,29.21,28.97,2019-07-24,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.68,29.2,2019-07-25,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.53,28.73,2019-07-26,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,29.04,28.56,2019-07-29,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.83,28.8,2019-07-30,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,29.0,28.8,2019-07-31,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.53,28.91,2019-08-01,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,28.31,28.49,2019-08-02,NS,NUSTAR ENERGY L P,4612.0,278.0
67058H10,27.33,28.13,2019-08-05,NS,NUSTAR ENERGY L P,4612.0,278.0
