cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
67059N10,41.94,40.82,2019-01-02,NTNX,NUTANIX INC,9999.0,67.0
67059N10,40.39,41.25,2019-01-03,NTNX,NUTANIX INC,9999.0,67.0
67059N10,43.47,41.32,2019-01-04,NTNX,NUTANIX INC,9999.0,67.0
67059N10,44.92,43.28,2019-01-07,NTNX,NUTANIX INC,9999.0,67.0
67059N10,45.31,45.6,2019-01-08,NTNX,NUTANIX INC,9999.0,67.0
67059N10,45.21,45.5,2019-01-09,NTNX,NUTANIX INC,9999.0,67.0
67059N10,45.13,44.55,2019-01-10,NTNX,NUTANIX INC,9999.0,67.0
67059N10,45.46,44.98,2019-01-11,NTNX,NUTANIX INC,9999.0,67.0
67059N10,45.55,44.93,2019-01-14,NTNX,NUTANIX INC,9999.0,67.0
67059N10,48.74,45.85,2019-01-15,NTNX,NUTANIX INC,9999.0,67.0
67059N10,49.01,50.25,2019-01-16,NTNX,NUTANIX INC,9999.0,67.0
67059N10,50.16,48.96,2019-01-17,NTNX,NUTANIX INC,9999.0,67.0
67059N10,52.16,50.67,2019-01-18,NTNX,NUTANIX INC,9999.0,67.0
67059N10,50.73,51.59,2019-01-22,NTNX,NUTANIX INC,9999.0,67.0
67059N10,50.26,51.16,2019-01-23,NTNX,NUTANIX INC,9999.0,67.0
67059N10,51.84,50.31,2019-01-24,NTNX,NUTANIX INC,9999.0,67.0
67059N10,52.23,52.23,2019-01-25,NTNX,NUTANIX INC,9999.0,67.0
67059N10,51.49,51.49,2019-01-28,NTNX,NUTANIX INC,9999.0,67.0
67059N10,49.4,51.78,2019-01-29,NTNX,NUTANIX INC,9999.0,67.0
67059N10,50.27,50.22,2019-01-30,NTNX,NUTANIX INC,9999.0,67.0
67059N10,51.23,50.34,2019-01-31,NTNX,NUTANIX INC,9999.0,67.0
67059N10,51.59,51.19,2019-02-01,NTNX,NUTANIX INC,9999.0,67.0
67059N10,52.83,51.65,2019-02-04,NTNX,NUTANIX INC,9999.0,67.0
67059N10,52.85,53.01,2019-02-05,NTNX,NUTANIX INC,9999.0,67.0
67059N10,52.28,53.0,2019-02-06,NTNX,NUTANIX INC,9999.0,67.0
67059N10,51.96,51.78,2019-02-07,NTNX,NUTANIX INC,9999.0,67.0
67059N10,53.16,51.44,2019-02-08,NTNX,NUTANIX INC,9999.0,67.0
67059N10,52.9,53.54,2019-02-11,NTNX,NUTANIX INC,9999.0,67.0
67059N10,54.14,53.54,2019-02-12,NTNX,NUTANIX INC,9999.0,67.0
67059N10,53.79,54.3,2019-02-13,NTNX,NUTANIX INC,9999.0,67.0
67059N10,53.76,53.4,2019-02-14,NTNX,NUTANIX INC,9999.0,67.0
67059N10,53.63,53.85,2019-02-15,NTNX,NUTANIX INC,9999.0,67.0
67059N10,54.01,53.64,2019-02-19,NTNX,NUTANIX INC,9999.0,67.0
67059N10,53.22,54.22,2019-02-20,NTNX,NUTANIX INC,9999.0,67.0
67059N10,53.15,53.31,2019-02-21,NTNX,NUTANIX INC,9999.0,67.0
67059N10,53.08,53.31,2019-02-22,NTNX,NUTANIX INC,9999.0,67.0
67059N10,51.23,53.45,2019-02-25,NTNX,NUTANIX INC,9999.0,67.0
67059N10,51.25,51.15,2019-02-26,NTNX,NUTANIX INC,9999.0,67.0
67059N10,50.82,51.18,2019-02-27,NTNX,NUTANIX INC,9999.0,67.0
67059N10,50.09,50.64,2019-02-28,NTNX,NUTANIX INC,9999.0,67.0
67059N10,33.7,36.76,2019-03-01,NTNX,NUTANIX INC,9999.0,67.0
67059N10,33.51,34.13,2019-03-04,NTNX,NUTANIX INC,9999.0,67.0
67059N10,33.85,33.32,2019-03-05,NTNX,NUTANIX INC,9999.0,67.0
67059N10,34.1,33.86,2019-03-06,NTNX,NUTANIX INC,9999.0,67.0
67059N10,34.94,34.1,2019-03-07,NTNX,NUTANIX INC,9999.0,67.0
67059N10,34.48,34.44,2019-03-08,NTNX,NUTANIX INC,9999.0,67.0
67059N10,35.61,35.39,2019-03-11,NTNX,NUTANIX INC,9999.0,67.0
67059N10,37.19,35.8,2019-03-12,NTNX,NUTANIX INC,9999.0,67.0
67059N10,38.37,37.15,2019-03-13,NTNX,NUTANIX INC,9999.0,67.0
67059N10,38.25,38.4,2019-03-14,NTNX,NUTANIX INC,9999.0,67.0
67059N10,38.27,38.54,2019-03-15,NTNX,NUTANIX INC,9999.0,67.0
67059N10,38.34,38.21,2019-03-18,NTNX,NUTANIX INC,9999.0,67.0
67059N10,38.79,38.34,2019-03-19,NTNX,NUTANIX INC,9999.0,67.0
67059N10,41.29,39.03,2019-03-20,NTNX,NUTANIX INC,9999.0,67.0
67059N10,42.8,40.81,2019-03-21,NTNX,NUTANIX INC,9999.0,67.0
67059N10,40.65,42.24,2019-03-22,NTNX,NUTANIX INC,9999.0,67.0
67059N10,40.38,40.37,2019-03-25,NTNX,NUTANIX INC,9999.0,67.0
67059N10,40.13,41.115,2019-03-26,NTNX,NUTANIX INC,9999.0,67.0
67059N10,36.97,40.1,2019-03-27,NTNX,NUTANIX INC,9999.0,67.0
67059N10,36.59,37.0,2019-03-28,NTNX,NUTANIX INC,9999.0,67.0
67059N10,37.74,36.88,2019-03-29,NTNX,NUTANIX INC,9999.0,67.0
67059N10,38.67,38.25,2019-04-01,NTNX,NUTANIX INC,9999.0,67.0
67059N10,37.66,38.48,2019-04-02,NTNX,NUTANIX INC,9999.0,67.0
67059N10,37.62,37.81,2019-04-03,NTNX,NUTANIX INC,9999.0,67.0
67059N10,36.84,37.66,2019-04-04,NTNX,NUTANIX INC,9999.0,67.0
67059N10,37.17,37.0,2019-04-05,NTNX,NUTANIX INC,9999.0,67.0
67059N10,37.93,37.02,2019-04-08,NTNX,NUTANIX INC,9999.0,67.0
67059N10,38.81,37.81,2019-04-09,NTNX,NUTANIX INC,9999.0,67.0
67059N10,39.51,39.045,2019-04-10,NTNX,NUTANIX INC,9999.0,67.0
67059N10,39.72,39.5,2019-04-11,NTNX,NUTANIX INC,9999.0,67.0
67059N10,40.66,39.86,2019-04-12,NTNX,NUTANIX INC,9999.0,67.0
67059N10,40.42,40.51,2019-04-15,NTNX,NUTANIX INC,9999.0,67.0
67059N10,41.07,40.55,2019-04-16,NTNX,NUTANIX INC,9999.0,67.0
67059N10,42.1,41.15,2019-04-17,NTNX,NUTANIX INC,9999.0,67.0
